t,|deltaS|
1,1.929
2,0.02462
3,0.09004
4,0.002104
5,0.01015
6,0.1593
7,0.04378
8,0.04816
9,0.01337
10,0.1376
11,0.003926
12,0.1097
13,0.01252
14,0.07597
15,0.1568
16,0.1247
17,0.1667
18,0.06535
19,0.1793
20,0.06496
21,0.391
22,0.9906
23,0.9196
24,0.8636
25,1.174
26,1.12
27,1.699
28,0.9055
29,0.4391
30,1.258
31,0.7527
32,0.4877
33,0.5646
34,1.016
35,0.06706
36,0.3129
37,0.06626
38,0.6998
39,0.729
40,1.107
41,0.3275
42,1.227
43,0.09509
44,0.3667
45,1.099
46,0.1985
47,0.9532
48,0.05124
49,0.6022
50,0.1096
51,0.1059
52,0.0542
53,0.5613
54,0.7918
55,0.9432
56,0.2892
57,0.107
58,0.1718
59,1.524
60,1.568
61,0.2981
62,0.647
63,0.3805
64,0.7551
65,0.6365
66,0.1995
67,0.3504
68,0.02973
69,0.6471
70,0.6972
71,0.04363
72,0.3922
73,0.2356
74,0.2418
75,0.194
76,0.2875
77,0.2922
78,0.098
79,0.07924
80,0.7689
81,0.07583
82,0.3713
83,0.2364
84,0.2522
85,0.5843
86,0.526
87,0.3392
88,0.01908
89,0.5441
90,0.4179
91,0.1378
92,0.1783
93,0.578
94,0.3472
95,0.2227
96,0.7426
97,0.5212
98,0.2349
99,0.1548
100,0.08182
101,0.3266
102,0.05536
103,0.4107
104,0.622
105,0.1077
106,0.1194
107,1
108,0.615
109,0.192
110,0.4817
111,0.1316
112,0.974
113,1.063
114,0.5807
115,0.5068
116,0.1864
117,0.1009
118,0.2871
119,0.4573
120,0.4955
121,0.08758
122,0.1593
123,0.511
124,0.3102
125,0.07623
126,0.4801
127,0.3477
128,0.1341
129,0.8657
130,0.4868
131,0.114
132,0.1897
133,0.04951
134,0.3978
135,0.411
136,0.4532
137,0.4796
138,0.3967
139,0.4199
140,0.4041
141,0.8222
142,0.9817
143,1.06
144,0.8101
145,1.272
146,0.9784
147,0.2974
148,0.2027
149,0.2566
150,0.2949
151,0.2738
152,0.03002
153,0.1386
154,0.5111
155,0.8371
156,0.7177
157,1.007
158,0.1685
159,0.1537
160,0.3122
161,0.5928
162,0.4219
163,0.6923
164,0.4311
165,0.2681
166,0.05513
167,0.1012
168,0.128
169,0.7532
170,0.4571
171,0.282
172,1.257
173,0.7898
174,0.0995
175,0.3033
176,0.1843
177,0.02497
178,0.5718
179,0.2991
180,0.875
181,1.035
182,1.17
183,0.168
184,0.6653
185,0.6422
186,0.1982
187,0.6103
188,0.4302
189,0.844
190,0.4634
191,0.4099
192,0.3528
193,0.6003
194,0.06527
195,0.2351
196,0.6692
197,0.4681
198,0.1021
199,0.0815
200,0.109
201,0.2794
202,0.1206
203,0.2719
204,0.8793
205,0.3776
206,0.4467
207,0.3492
208,0.4079
209,0.06064
210,0.03552
211,0.3741
212,0.08987
213,0.3721
214,0.8644
215,0.1064
216,0.4797
217,0.5443
218,0.09352
219,0.1519
220,0.9093
221,0.04938
222,0.1526
223,0.1699
224,0.6181
225,0.8881
226,0.3928
227,0.02943
228,0.09508
229,0.1913
230,0.4124
231,0.04155
232,0.3218
233,0.7095
234,0.07002
235,0.07124
236,0.8763
237,0.1527
238,0.001803
239,0.5425
240,0.7402
241,0.02356
242,0.2885
243,0.4629
244,0.4264
245,0.5307
246,0.5477
247,0.3665
248,0.08132
249,0.12
250,0.5705
251,0.2751
252,0.01225
253,0.7712
254,0.2669
255,0.2447
256,0.02146
257,0.4477
258,0.03235
259,0.497
260,0.5157
261,0.009548
262,0.3361
263,0.5925
264,0.3737
265,0.3132
266,0.001559
267,0.3398
268,0.2527
269,0.189
270,0.3762
271,0.5741
272,0.073
273,0.4682
274,0.2129
275,0.3458
276,0.2212
277,0.1267
278,0.1094
279,0.4174
280,0.2322
281,0.5655
282,0.2451
283,0.7045
284,0.5854
285,0.3232
286,0.5019
287,0.9447
288,0.6141
289,0.07824
290,0.2962
291,0.1279
292,0.4651
293,0.5454
294,0.2197
295,0.4996
296,0.08431
297,0.1476
298,0.1975
299,0.1276
300,0.2301
301,0.3745
302,0.003851
303,0.1106
304,0.1579
305,0.2273
306,0.4303
307,0.09177
308,0.08167
309,0.4086
310,0.1257
311,0.2378
312,0.4146
313,0.9526
314,0.4961
315,0.04704
316,0.1813
317,0.5905
318,0.01461
319,0.9289
320,1.051
321,0.07692
322,0.5732
323,0.4268
324,0.6254
325,0.7862
326,0.4488
327,0.6365
328,0.3059
329,0.2417
330,0.06953
331,1.121
332,0.3835
333,0.1538
334,0.6008
335,0.2647
336,0.6722
337,0.05399
338,0.9139
339,0.826
340,0.4016
341,0.1621
342,0.4276
343,0.1164
344,0.3437
345,0.4064
346,0.1528
347,0.02842
348,0.2882
349,0.3064
350,0.2432
351,0.1208
352,0.746
353,0.08242
354,0.1211
355,0.09223
356,0.1049
357,0.2109
358,0.239
359,0.1576
360,0.119
361,0.4963
362,0.1088
363,0.307
364,0.4691
365,0.04599
366,0.2697
367,0.3475
368,0.3087
369,0.2278
370,0.2186
371,0.1847
372,0.296
373,0.247
374,0.1773
375,0.4557
376,0.3135
377,0.3172
378,0.2807
379,0.8932
380,0.0283
381,0.2824
382,0.3439
383,0.2025
384,0.2471
385,0.4054
386,0.08514
387,0.03353
388,0.103
389,0.2999
390,1.485
391,0.07447
392,0.05854
393,0.1576
394,0.5604
395,0.1015
396,0.03698
397,0.1368
398,0.4677
399,0.1529
400,0.1633
401,0.5597
402,0.458
403,0.2533
404,0.7384
405,0.514
406,0.3442
407,0.128
408,0.6259
409,0.2205
410,0.415
411,0.6695
412,0.2258
413,0.05774
414,0.2411
415,0.07916
416,0.1653
417,0.1139
418,0.5086
419,0.1795
420,0.1883
421,0.02012
422,0.422
423,0.04887
424,0.4691
425,0.7867
426,0.02381
427,0.3799
428,0.1011
429,0.4014
430,0.1119
431,0.6883
432,0.1984
433,0.06016
434,0.5983
435,0.2908
436,0.215
437,0.1693
438,0.06395
439,0.02453
440,0.1177
441,0.6512
442,0.3879
443,0.5166
444,0.2641
445,0.4651
446,0.5047
447,0.4656
448,0.5173
449,0.1256
450,0.1888
451,0.2569
452,0.2815
453,0.1455
454,0.6127
455,0.8777
456,0.4764
457,0.2039
458,0.2991
459,0.2857
460,0.04872
461,0.1235
462,0.4211
463,0.1475
464,0.4632
465,0.3744
466,0.4519
467,0.1316
468,0.7675
469,0.01813
470,0.4678
471,0.4409
472,0.5091
473,0.4573
474,0.09349
475,0.4851
476,0.1672
477,0.05607
478,0.3604
479,0.09549
480,0.02762
481,0.168
482,0.1519
483,0.3256
484,1.024
485,0.06855
486,0.01028
487,0.04073
488,0.2619
489,0.09513
490,0.2641
491,0.4067
492,0.03985
493,0.03602
