MDTU,|Tr(Lx)|,|Tr(Ly)|,|Tr(Lz)|,|Tr(L5)|
1,0.990789,6.3956e+06,5.94459e+06,153.386
2,0.99575,161581,173277,36.4801
3,0.990616,114193,113279,24.7867
4,0.986652,45309.6,41240.2,14.0941
5,0.982561,25799.9,21520.8,8.90471
6,0.981288,12613.5,10301.2,5.40796
7,0.98128,5937.06,5539.33,3.10602
8,0.983603,3542.79,3227.4,1.91657
9,0.986323,2165.34,2135.93,1.19266
10,0.981857,1390.21,1580.14,0.763478
11,0.985737,1071.66,1148.04,0.492841
12,0.984561,704.033,733.139,0.329647
13,0.986243,525.46,522.141,0.209095
14,0.986655,361.881,370.19,0.184312
15,0.984873,308.484,266.506,0.121353
16,0.986868,226.27,188.665,0.0648698
17,0.982279,175.482,152.418,0.0487596
18,0.98326,147.65,114.081,0.00847803
19,0.977176,112.559,86.5117,0.0353881
20,0.976065,94.0987,63.8024,0.0228553
21,0.974321,69.3542,56.775,0.0297703
22,0.980246,67.0193,43.7205,0.00767029
23,0.978576,50.9227,38.8023,0.0145784
24,0.979653,40.6225,39.5601,0.0157934
25,0.981341,27.372,32.6803,0.0199774
26,0.977646,28.586,26.5062,0.00546148
27,0.972888,29.3901,23.1873,0.00572562
28,0.970852,21.0802,21.5694,0.0176566
29,0.96999,18.0693,19.0892,0.0204188
30,0.977737,15.2876,16.4011,0.0145092
31,0.977292,12.4588,16.0002,0.00317942
32,0.975797,12.4884,16.2792,0.0143955
33,0.968154,10.1517,13.7796,0.00738649
34,0.97679,9.54383,11.5106,0.00702202
35,0.974377,8.10685,10.3973,0.00969595
36,0.974713,8.97101,9.67922,0.00946507
37,0.971955,8.45279,8.73395,0.00879725
38,0.968529,7.5459,6.90018,0.00589306
39,0.967889,5.96171,7.73881,0.0161891
40,0.974412,5.93491,6.8688,0.00217708
41,0.969725,4.05631,6.95401,0.0096022
42,0.965834,3.16176,5.25827,0.00569576
43,0.964193,3.40623,4.83672,0.00656011
44,0.966505,3.84892,4.82377,0.022239
45,0.963163,3.22637,4.39461,0.0150713
46,0.958806,2.20536,3.59558,0.0160867
47,0.958621,2.49307,4.62879,0.00318618
48,0.96933,2.88534,3.51552,0.00761325
49,0.96422,2.88247,4.53394,0.0146814
50,0.963349,2.79162,3.58164,0.010519
51,0.973547,2.21933,3.75067,0.0119515
52,0.975579,2.51607,3.33736,0.00619902
53,0.972164,2.17818,2.94157,0.0110074
54,0.97236,2.48811,3.32831,0.00172481
55,0.971037,2.1058,2.73531,0.00452952
56,0.970824,1.94785,2.95326,0.010475
57,0.969264,2.1884,2.61097,0.00187985
58,0.972558,2.01202,2.22332,0.00835491
59,0.978632,1.58651,2.09867,0.0040463
60,0.981188,1.44898,1.94855,0.00890591
61,0.979783,1.35619,1.65772,0.00318208
62,0.976584,1.48523,1.69836,0.00642166
63,0.969969,1.65716,1.59696,0.00291686
64,0.967898,1.22795,1.52811,0.00332002
65,0.965997,1.26748,1.50809,0.0138378
66,0.966813,1.55737,1.48782,0.00746602
67,0.968025,1.33324,1.45056,0.00730524
68,0.96619,1.24935,1.02755,0.00707052
69,0.975253,1.1663,1.00862,0.00855822
70,0.974809,1.16106,0.761882,0.0111234
71,0.974812,0.975142,1.03005,0.0187927
72,0.962062,1.10509,0.771596,0.00645978
73,0.964006,0.925264,0.901621,0.00853417
74,0.956694,1.26704,0.757794,0.0172135
75,0.962604,0.747001,0.492122,0.012959
76,0.963102,0.696847,0.485066,0.00330271
77,0.965721,0.744726,0.766236,0.00426538
78,0.968068,0.66621,0.505082,0.00657994
79,0.97836,0.517104,0.670768,0.0104947
80,0.971341,0.401442,0.625365,0.00623833
81,0.969074,0.442195,0.585994,0.00311924
82,0.964421,0.505527,0.341773,0.00575805
83,0.963513,0.410259,0.0880452,0.00120893
84,0.963823,0.425877,0.189807,0.00510337
85,0.970545,0.475579,0.150874,0.00854228
86,0.968373,0.481309,0.278243,0.00304152
87,0.965045,0.494529,0.142831,0.00373004
88,0.95658,0.581605,0.121732,0.00247068
89,0.958756,0.63974,0.0629728,0.00600725
90,0.958539,0.710645,0.12085,0.000452412
91,0.9554,0.885557,0.194073,0.00520906
92,0.963214,0.740455,0.32876,0.00671238
93,0.964256,0.640471,0.426523,0.0112929
94,0.964599,0.466323,0.449546,0.0034854
95,0.967751,0.605017,0.495101,0.00700262
96,0.967615,0.578757,0.264728,0.00298994
97,0.967615,0.578757,0.264728,0.00298994
98,0.973252,0.539706,0.212733,0.00655104
99,0.973315,0.488259,0.300896,0.00922698
100,0.970097,0.45164,0.284919,0.0108889
101,0.968963,0.381522,0.266774,0.00500088
102,0.964678,0.434469,0.230508,0.0093154
103,0.966464,0.446893,0.271343,0.00918541
104,0.968861,0.419653,0.105072,0.00623005
105,0.971524,0.324716,0.0673458,0.0062049
106,0.971087,0.334662,0.119126,0.0116882
107,0.971941,0.250518,0.12812,0.0058321
108,0.970396,0.366935,0.170447,0.0127016
109,0.970308,0.281658,0.117514,0.00489892
110,0.973053,0.335714,0.0929352,0.0117877
111,0.974294,0.200982,0.0238581,0.0079238
112,0.972791,0.293617,0.11921,0.00345655
113,0.969855,0.303798,0.208135,0.00757523
114,0.968018,0.249551,0.271235,0.00503139
115,0.969377,0.274591,0.178331,0.00730235
116,0.96858,0.308307,0.0813758,0.00298283
117,0.967135,0.318182,0.0874519,0.00672948
118,0.963169,0.238823,0.174078,0.00364451
