t,accP
1,1
2,1
3,1
4,1
5,1
6,0
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,1
21,0
22,1
23,0
24,0
25,0
26,0
27,1
28,0
29,0
30,0
31,1
32,0
33,1
34,1
35,1
36,1
37,0
38,0
39,1
40,1
41,1
42,1
43,0
44,0
45,1
46,0
47,0
48,1
49,1
50,0
51,1
52,1
53,0
54,0
55,0
56,1
57,1
58,1
59,1
60,1
61,0
62,1
63,0
64,1
65,0
66,0
67,0
68,1
69,0
70,0
71,1
72,0
73,1
74,1
75,1
76,0
77,0
78,0
79,1
80,1
81,0
82,0
83,1
84,1
85,1
86,0
87,1
88,1
89,1
90,0
91,1
92,0
93,1
94,0
95,0
96,0
97,1
98,0
99,1
100,1
101,0
102,0
103,1
104,1
105,0
106,1
107,1
108,0
109,1
110,1
111,1
112,0
113,1
114,1
115,1
116,0
117,0
118,1
119,1
120,1
121,0
122,1
123,0
124,1
125,0
126,1
127,1
128,0
129,0
130,0
131,0
132,1
133,1
134,0
135,1
136,0
137,0
138,0
139,0
140,1
141,0
142,1
143,0
144,0
145,0
146,1
147,1
148,0
149,0
150,0
151,1
152,0
153,0
154,0
155,0
156,1
157,0
158,1
159,0
160,1
161,0
162,0
163,1
164,1
165,1
166,1
167,0
168,0
169,1
170,0
171,0
172,0
173,1
174,0
175,1
176,0
177,1
178,0
179,1
180,1
181,0
182,0
183,0
184,1
185,1
186,0
187,0
188,1
189,1
190,1
191,1
192,0
193,1
194,1
195,1
196,1
197,1
198,0
199,0
200,1
201,1
202,1
203,1
204,1
205,1
206,1
207,1
208,0
209,1
210,1
211,1
212,0
213,0
214,0
215,1
216,1
217,1
218,0
219,1
220,0
221,0
222,1
223,0
224,0
225,0
226,1
227,1
228,1
229,1
230,1
231,1
232,1
233,1
234,0
235,0
236,1
237,1
238,1
239,0
240,0
241,1
242,1
243,1
244,1
245,1
246,1
247,0
248,1
249,1
250,0
251,1
252,0
253,0
254,0
255,0
256,0
257,0
258,0
259,0
260,1
261,1
262,1
263,1
264,1
265,1
266,0
267,1
268,0
269,0
270,0
271,1
272,1
273,1
274,1
275,0
276,1
277,1
278,1
279,1
280,1
281,1
282,1
283,1
284,0
285,1
286,1
287,1
288,0
289,1
290,0
291,1
292,1
293,1
294,1
295,0
296,1
297,1
298,0
299,1
300,0
301,1
302,0
303,1
304,1
305,0
306,1
307,1
308,1
309,1
310,1
311,1
312,1
313,1
314,1
315,0
316,1
317,1
318,1
319,1
320,0
321,1
322,0
323,1
324,1
325,1
326,1
327,0
328,1
329,1
330,0
331,0
332,0
333,1
334,1
335,1
336,1
337,1
338,1
339,0
340,0
341,1
342,1
343,1
344,1
345,0
346,0
347,1
348,1
349,1
350,0
351,1
352,1
353,0
354,1
355,1
356,1
357,1
358,1
359,0
360,1
361,1
362,1
363,0
364,1
365,1
366,1
367,1
368,1
369,1
370,1
371,0
372,1
373,0
374,0
375,1
376,1
377,1
378,1
379,0
380,0
381,1
382,1
383,0
384,1
385,1
386,0
387,1
388,1
389,1
390,0
391,1
392,0
393,1
394,0
395,1
396,1
397,0
398,1
399,1
400,1
401,1
402,1
403,1
404,1
405,1
406,0
407,0
408,1
409,1
410,0
411,1
412,1
413,1
414,0
415,0
416,1
417,0
418,1
419,1
420,1
421,0
422,0
423,1
424,0
425,1
426,0
427,1
428,1
429,0
430,0
431,1
432,1
433,1
434,1
435,1
436,1
437,0
438,1
439,1
440,0
441,1
442,0
443,1
444,1
445,1
446,1
447,0
448,0
449,1
450,1
451,0
452,0
453,1
454,0
455,1
456,0
457,1
458,1
459,1
460,0
461,0
462,0
463,1
464,1
465,1
466,1
467,1
468,0
469,0
470,1
471,1
472,1
473,1
474,0
475,0
476,1
477,1
478,1
479,1
480,1
481,0
482,0
483,1
484,0
485,0
486,0
487,1
488,0
489,1
490,1
491,1
492,1
493,1
494,1
495,1
496,1
497,1
498,0
499,1
500,1
