MDTU,plaq_ss,plaq_st
1,0.964224,1.08364
2,1.24534,1.44454
3,1.21677,1.39945
4,1.22268,1.40557
5,1.21612,1.39925
6,1.20419,1.38117
7,1.20426,1.3696
8,1.19692,1.36212
9,1.19223,1.36428
10,1.18317,1.36238
11,1.18164,1.34423
12,1.1733,1.33852
13,1.17604,1.3378
14,1.17054,1.327
15,1.17248,1.32259
16,1.16974,1.31207
17,1.16545,1.30624
18,1.15584,1.29459
19,1.14841,1.29932
20,1.14609,1.30007
21,1.14173,1.28761
22,1.1438,1.28352
23,1.14392,1.27867
24,1.13216,1.27253
25,1.13434,1.26873
26,1.13316,1.26796
27,1.12211,1.25777
28,1.12051,1.24352
29,1.12205,1.24856
30,1.11804,1.23283
31,1.11811,1.22475
32,1.11138,1.22553
33,1.11088,1.21413
34,1.10188,1.21554
35,1.10187,1.21279
36,1.09696,1.21523
37,1.09447,1.20751
38,1.09526,1.20875
39,1.09248,1.20196
40,1.09083,1.1965
41,1.09083,1.1965
42,1.0874,1.19036
43,1.08292,1.1948
44,1.08292,1.1948
45,1.08292,1.1948
46,1.08122,1.18684
47,1.08122,1.18684
48,1.0807,1.18719
49,1.07617,1.18345
50,1.07577,1.18086
51,1.06989,1.17539
52,1.06748,1.16614
53,1.06748,1.16614
54,1.06748,1.16614
55,1.06748,1.16614
56,1.06747,1.16636
57,1.06747,1.16636
58,1.06745,1.16606
59,1.06644,1.15837
60,1.06908,1.16357
61,1.06624,1.16157
62,1.06453,1.15953
63,1.06859,1.1618
64,1.06008,1.16283
65,1.05856,1.16376
66,1.05721,1.15867
67,1.05655,1.16364
68,1.04659,1.15059
69,1.05311,1.15498
70,1.05156,1.15296
71,1.04227,1.1543
72,1.03693,1.14834
73,1.03524,1.15152
74,1.03283,1.15197
75,1.03196,1.1384
76,1.02873,1.14083
77,1.02012,1.13849
78,1.01865,1.14
79,1.0183,1.14304
80,1.01867,1.14221
81,1.01867,1.14221
82,1.02105,1.13841
83,1.02612,1.14434
84,1.02668,1.1451
85,1.02715,1.14835
86,1.02556,1.14928
87,1.02817,1.14698
88,1.02489,1.14615
89,1.02124,1.14272
90,1.01793,1.13308
91,1.00583,1.13303
92,1.0084,1.134
93,1.00643,1.13368
94,1.00643,1.13368
95,1.01156,1.13689
96,1.00947,1.13974
97,1.00738,1.14403
98,1.00753,1.13573
99,1.00525,1.12977
100,1.00525,1.12977
101,1.00758,1.13005
102,1.0115,1.1357
103,1.01543,1.13878
104,1.01808,1.13254
105,1.01808,1.13254
106,1.01808,1.13254
107,1.01808,1.13254
108,1.01203,1.13284
109,1.01103,1.12759
110,1.00888,1.12546
111,1.01399,1.12441
112,1.01387,1.12871
113,1.01475,1.12474
114,1.01475,1.12474
115,1.01867,1.12838
116,1.01474,1.11909
117,1.0117,1.11665
118,1.01122,1.11376
119,1.01126,1.11115
120,1.01126,1.11115
121,1.00625,1.11072
122,1.00649,1.11163
123,1.00649,1.11163
124,1.01209,1.11046
125,1.00462,1.10656
126,0.999003,1.10221
127,0.999003,1.10221
128,1.00555,1.09925
129,1.00272,1.09521
130,1.00034,1.0935
131,1.00034,1.0935
132,0.999375,1.09723
133,1.00101,1.09383
134,0.994753,1.08929
135,0.995514,1.08668
136,0.99766,1.09424
137,0.99766,1.09424
138,0.997991,1.09942
139,1.00118,1.09928
140,1.00118,1.09928
141,0.99891,1.10061
142,0.99891,1.10061
143,0.992354,1.09862
144,0.990197,1.10097
145,0.990197,1.10097
146,0.990295,1.10169
147,0.993728,1.10256
148,0.993728,1.10256
149,0.992824,1.09781
150,0.99673,1.09857
