MDTU,|Tr(L)|,ReTr(L),ImTr(L)
1,0.916555,0.107439,0.910236
2,0.918558,0.0723412,0.915705
3,0.920211,0.097337,0.915049
4,0.921509,0.084927,0.917588
5,0.923854,0.0375306,0.923091
6,0.920924,0.0338691,0.920301
7,0.920085,0.0128614,0.919995
8,0.923986,0.0160236,0.923848
9,0.921268,0.0324134,0.920697
10,0.921572,-0.0183335,0.92139
11,0.924161,-0.00602196,0.924141
12,0.924161,-0.00602196,0.924141
13,0.921998,-0.0195617,0.92179
14,0.926687,-0.00859836,0.926647
15,0.9233,-0.0527007,0.921795
16,0.92581,-0.0578441,0.924001
17,0.923488,-0.0569685,0.921729
18,0.926361,-0.0485596,0.925087
19,0.925378,-0.0461094,0.924229
20,0.923028,-0.0263646,0.922651
21,0.923028,-0.0263646,0.922651
22,0.923715,-0.0264838,0.923335
23,0.925888,-0.0591011,0.924
24,0.927847,-0.0830473,0.924122
25,0.924612,-0.0888142,0.920336
26,0.923171,-0.0376079,0.922405
27,0.926137,-0.0426542,0.925154
28,0.922958,-0.0243557,0.922636
29,0.924428,-0.0142173,0.924319
30,0.92877,-0.039018,0.92795
31,0.925691,-0.0537557,0.924129
32,0.924912,-0.020785,0.924679
33,0.927004,0.0116804,0.92693
34,0.927004,0.0116804,0.92693
35,0.924023,0.00216801,0.92402
36,0.924023,0.00216801,0.92402
37,0.928785,0.00963884,0.928735
38,0.928768,-0.0104077,0.92871
39,0.926811,-0.0163865,0.926666
40,0.926158,-0.0528972,0.924646
41,0.928236,-0.072059,0.925435
42,0.927725,-0.0638774,0.925524
43,0.927725,-0.0638774,0.925524
44,0.927725,-0.0638774,0.925524
45,0.930169,-0.0405478,0.929285
46,0.929938,-0.0504051,0.928571
47,0.929818,-0.0440025,0.928776
48,0.927213,-0.0476875,0.925986
49,0.927213,-0.0476875,0.925986
50,0.927213,-0.0476875,0.925986
51,0.926833,-0.0481076,0.925584
52,0.926833,-0.0481076,0.925584
53,0.926833,-0.0481076,0.925584
54,0.926833,-0.0481076,0.925584
55,0.930364,-0.0920125,0.925802
56,0.930364,-0.0920125,0.925802
57,0.933774,-0.0561315,0.932085
58,0.932396,-0.038599,0.931596
59,0.932396,-0.038599,0.931596
60,0.932396,-0.038599,0.931596
