ReTr(L*),ImTr(Lx),ImTr(Ly),ImTr(Lz),ImTr(L5)
0.98785,-0.0064564,null,null,null
0.181711,null,0.2491,null,null
-0.003132,null,null,0.0235726,null
-0.000599869,null,null,null,0.000837396
0.98785,-0.0064564,null,null,null
0.181711,null,0.2491,null,null
-0.003132,null,null,0.0235726,null
-0.000599869,null,null,null,0.000837396
0.98785,-0.0064564,null,null,null
0.181711,null,0.2491,null,null
-0.003132,null,null,0.0235726,null
-0.000599869,null,null,null,0.000837396
0.98785,-0.0064564,null,null,null
0.181711,null,0.2491,null,null
-0.003132,null,null,0.0235726,null
-0.000599869,null,null,null,0.000837396
0.98785,-0.0064564,null,null,null
0.181711,null,0.2491,null,null
-0.003132,null,null,0.0235726,null
-0.000599869,null,null,null,0.000837396
0.985827,-0.0053225,null,null,null
0.537045,null,0.739841,null,null
-0.00868935,null,null,0.348806,null
-0.00821322,null,null,null,0.00171055
0.982741,-0.00599191,null,null,null
-0.123436,null,0.534591,null,null
0.215152,null,null,0.36569,null
-0.010848,null,null,null,-0.000660246
0.983079,-0.0038592,null,null,null
-0.313059,null,0.712976,null,null
0.362482,null,null,0.552304,null
-0.00662335,null,null,null,0.000676421
0.979513,-0.00149145,null,null,null
-0.0959821,null,0.825614,null,null
0.776582,null,null,0.420379,null
-0.0171763,null,null,null,0.00785715
0.981934,-0.00372786,null,null,null
-0.102393,null,1.03282,null,null
0.632683,null,null,0.598392,null
0.00271529,null,null,null,0.00311414
0.979311,-0.00391362,null,null,null
-0.272354,null,1.25339,null,null
0.792944,null,null,0.683146,null
-0.00182503,null,null,null,0.00295894
0.980884,-0.00598011,null,null,null
-0.110298,null,0.994235,null,null
0.720331,null,null,0.616025,null
0.000689809,null,null,null,0.00612844
0.979472,-0.00724389,null,null,null
-0.0230022,null,1.31306,null,null
1.0947,null,null,0.938794,null
0.00106597,null,null,null,-0.000175106
0.981525,-0.00853841,null,null,null
-0.0408366,null,1.09446,null,null
1.19544,null,null,0.752319,null
-0.00232409,null,null,null,0.0016535
0.983442,-0.00709759,null,null,null
-0.0637716,null,0.895014,null,null
0.756185,null,null,0.632471,null
-0.00560386,null,null,null,-0.00102121
0.985446,-0.00955566,null,null,null
0.0966384,null,0.885197,null,null
0.576361,null,null,0.463951,null
-0.00492154,null,null,null,0.00544004
0.982035,-0.00925095,null,null,null
0.307884,null,0.941747,null,null
0.660384,null,null,0.238088,null
-0.0036518,null,null,null,0.00306516
0.983379,-0.00836064,null,null,null
0.00128651,null,0.941331,null,null
0.684875,null,null,0.0789784,null
-0.00490226,null,null,null,0.00176078
0.989043,-0.00442156,null,null,null
0.25977,null,0.743891,null,null
0.292809,null,null,0.352979,null
-0.00364983,null,null,null,-0.00460479
0.991335,-0.00356329,null,null,null
0.0187157,null,0.781401,null,null
0.383869,null,null,0.22019,null
-0.00405556,null,null,null,-0.00538079
0.994319,0.000236685,null,null,null
0.102817,null,0.809782,null,null
0.365274,null,null,0.335103,null
0.00549986,null,null,null,-0.00893181
0.989178,0.00159736,null,null,null
0.421919,null,1.12922,null,null
0.151056,null,null,0.182476,null
-0.00016142,null,null,null,-0.0081607
0.986919,-0.00169757,null,null,null
-0.319337,null,0.821131,null,null
0.25189,null,null,0.263725,null
-4.22938e-05,null,null,null,-0.0041008
0.98554,0.00181405,null,null,null
-0.515201,null,1.02881,null,null
0.281304,null,null,0.264429,null
-0.00440156,null,null,null,-0.00156602
0.980875,-0.00240468,null,null,null
-0.778624,null,1.05791,null,null
0.325713,null,null,0.0589301,null
0.00212721,null,null,null,0.00269682
0.980875,-0.00240468,null,null,null
-0.778624,null,1.05791,null,null
0.325713,null,null,0.0589301,null
0.00212721,null,null,null,0.00269682
0.981506,-0.00496595,null,null,null
-0.761449,null,1.33271,null,null
0.505594,null,null,-0.163323,null
0.00275783,null,null,null,0.00430152
0.977671,-0.00170863,null,null,null
-0.740223,null,1.60314,null,null
0.523247,null,null,0.118274,null
-0.00312087,null,null,null,-0.00195729
0.97867,-0.00180145,null,null,null
-0.58313,null,1.56976,null,null
0.582104,null,null,0.00043617,null
-0.00116578,null,null,null,0.000224231
0.982986,-0.00178961,null,null,null
-0.491758,null,1.74795,null,null
0.312261,null,null,0.00239394,null
0.00204463,null,null,null,0.00464716
0.985195,0.0025055,null,null,null
-0.2816,null,1.29517,null,null
0.490931,null,null,0.054689,null
0.00492624,null,null,null,0.00297508
0.987459,0.00702784,null,null,null
-0.532513,null,1.55488,null,null
0.553312,null,null,0.120067,null
0.00530792,null,null,null,0.0055655
0.991506,0.00683431,null,null,null
-0.604969,null,1.21061,null,null
0.826176,null,null,0.143759,null
-0.00605279,null,null,null,-0.000613769
0.993501,0.00800839,null,null,null
-0.331933,null,1.45369,null,null
0.478948,null,null,0.138313,null
-0.00883314,null,null,null,0.00218029
0.986572,0.00979214,null,null,null
-0.29266,null,1.17275,null,null
0.531756,null,null,0.0337261,null
-0.00782934,null,null,null,0.00470059
0.984776,0.00421984,null,null,null
-0.0369437,null,0.97549,null,null
0.28492,null,null,0.517203,null
0.00193636,null,null,null,0.00455365
0.98692,0.00283548,null,null,null
-0.114122,null,0.95646,null,null
0.446723,null,null,0.510224,null
0.00919485,null,null,null,0.00322012
0.982115,0.00285161,null,null,null
0.102414,null,0.759369,null,null
0.347944,null,null,0.448699,null
-0.000357422,null,null,null,0.00385314
0.982839,0.000717596,null,null,null
-0.051453,null,0.859894,null,null
0.363407,null,null,0.590449,null
0.00209418,null,null,null,-0.000604773
0.982574,0.000970455,null,null,null
-0.0412716,null,0.886517,null,null
0.249466,null,null,0.494225,null
0.0031428,null,null,null,-0.00141537
0.984725,0.00284014,null,null,null
-0.2914,null,0.599583,null,null
0.0235712,null,null,0.299762,null
0.00170692,null,null,null,-0.00550289
0.98465,-0.000467385,null,null,null
-0.144355,null,0.580342,null,null
-0.162344,null,null,0.43932,null
0.00476254,null,null,null,-0.00182634
0.984056,-0.00320526,null,null,null
-0.298658,null,0.81518,null,null
-0.0681465,null,null,0.231616,null
0.00251014,null,null,null,0.00420992
0.984159,-0.00141169,null,null,null
-0.284219,null,0.646841,null,null
0.294104,null,null,0.298887,null
-0.00263705,null,null,null,-0.0026911
0.984159,-0.00141169,null,null,null
-0.284219,null,0.646841,null,null
0.294104,null,null,0.298887,null
-0.00263705,null,null,null,-0.0026911
0.985102,0.00346406,null,null,null
-0.195675,null,0.764243,null,null
0.191108,null,null,0.413344,null
0.00643749,null,null,null,-0.0011234
0.980812,0.000439298,null,null,null
-0.380568,null,0.549126,null,null
-0.0492505,null,null,0.327537,null
-0.00148047,null,null,null,0.00131387
0.98078,0.00147471,null,null,null
-0.312215,null,0.702786,null,null
0.208648,null,null,0.348691,null
0.00546172,null,null,null,0.00745128
0.979274,-0.000234996,null,null,null
-0.10959,null,0.71948,null,null
0.0556055,null,null,0.341854,null
0.00423064,null,null,null,0.01267
0.984194,0.00781272,null,null,null
-0.0556673,null,0.763332,null,null
0.127312,null,null,0.446666,null
0.00420458,null,null,null,0.00764711
0.983289,0.0107395,null,null,null
-0.21004,null,0.686364,null,null
0.253294,null,null,0.579585,null
0.00562449,null,null,null,0.00301533
0.978681,0.00970411,null,null,null
-0.317796,null,0.677866,null,null
0.142751,null,null,0.447276,null
0.0037458,null,null,null,0.0106413
0.976267,0.0100668,null,null,null
-0.0274941,null,0.599819,null,null
0.11523,null,null,0.62357,null
0.00330805,null,null,null,0.00330539
0.977126,0.00957726,null,null,null
0.0136732,null,0.64528,null,null
0.0930698,null,null,0.59723,null
0.00161082,null,null,null,-0.00180621
0.978635,0.00825794,null,null,null
-0.130596,null,0.800946,null,null
0.117535,null,null,0.597574,null
