t,accP
1,0
2,0
3,0
4,0
5,0
6,1
7,1
8,0
9,1
10,0
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,1
21,1
22,1
23,1
24,1
25,1
26,1
27,1
28,1
29,1
30,1
31,1
32,1
33,1
34,1
35,1
36,1
37,1
38,1
39,1
40,1
41,1
42,1
43,1
44,1
45,1
46,1
47,1
48,0
49,0
50,1
51,1
52,1
53,0
54,1
55,1
56,1
57,1
58,1
59,1
60,1
61,1
62,1
63,1
64,0
65,1
66,1
67,1
68,1
69,0
70,1
71,1
72,1
73,1
74,1
75,1
76,1
77,1
78,1
79,1
80,1
81,1
82,1
83,1
84,0
85,1
86,1
87,1
88,1
89,0
90,1
91,1
92,1
93,0
94,1
95,0
96,1
97,0
98,1
99,0
100,1
101,1
102,1
103,1
104,1
105,1
106,1
107,1
108,0
109,1
110,0
111,1
112,0
113,1
114,1
115,1
116,1
117,1
118,1
119,0
120,0
121,1
122,1
123,1
124,1
125,0
126,1
127,1
128,1
129,1
130,1
131,1
132,0
133,1
134,1
135,0
136,1
137,1
138,1
139,1
140,1
141,1
142,1
143,0
144,0
145,1
146,0
147,1
148,1
149,0
150,1
151,1
152,1
153,1
154,1
155,1
156,0
157,1
158,0
159,1
160,1
161,1
162,1
163,1
164,1
165,0
166,0
167,1
168,0
169,0
170,0
171,1
172,1
173,1
174,1
175,1
176,1
177,0
178,0
179,0
180,0
181,1
182,1
183,1
184,0
185,1
186,1
187,1
188,1
189,1
190,1
191,0
192,0
193,1
194,0
195,1
196,1
197,1
198,0
199,1
200,1
201,1
202,0
203,1
204,1
205,0
206,1
207,0
208,0
209,1
210,0
211,0
212,1
213,0
214,0
215,0
216,0
217,1
218,1
219,1
220,1
221,1
222,0
223,0
224,1
225,0
226,1
227,1
228,1
229,1
230,1
231,0
232,0
233,0
234,0
235,1
236,0
237,0
238,1
239,1
240,1
241,1
242,1
243,0
244,0
245,1
246,1
247,1
248,1
249,1
250,1
251,0
252,0
253,0
254,0
255,1
256,1
257,0
258,1
259,1
260,0
261,1
262,0
263,0
264,0
265,1
266,0
267,0
268,1
269,1
270,0
271,1
272,0
273,0
274,1
275,1
276,1
277,1
278,1
279,1
280,0
