t,|deltaS|
1,1.272
2,1.293
3,1.272
4,1.285
5,1.411
6,1.37
7,0.03617
8,0.1085
9,0.05512
10,0.05287
11,0.0379
12,0.1456
13,0.02172
14,0.05481
15,0.09319
16,0.1326
17,0.02569
18,0.1262
19,0.1352
20,0.1122
21,0.3728
22,0.06614
23,0.009248
24,0.1431
25,0.09673
26,0.5879
27,0.1027
28,0.03976
29,0.3811
30,0.06038
31,0.4362
32,1.048
33,0.6298
34,0.03563
35,0.5407
36,0.122
37,0.3051
38,0.9641
39,0.4212
40,0.3675
41,1.459
42,1.166
43,0.2231
44,0.6795
45,0.001937
46,0.07378
47,2.233
48,2.398
49,0.8162
50,0.3452
51,1.283
52,0.6097
53,1.024
54,0.6381
55,0.02101
56,0.775
57,0.02704
58,2.101
59,0.5528
60,0.05146
61,0.7794
62,0.3096
63,1.761
64,0.3081
65,0.989
66,1.04
67,0.1091
68,0.0626
69,1.222
70,0.6419
71,0.7453
72,0.3649
73,1.136
74,1.245
75,1.634
76,0.6842
77,0.4141
78,0.76
79,0.4694
80,0.1883
81,0.9876
82,1.172
83,0.7416
84,0.6904
85,0.4572
86,0.2842
87,0.5481
88,0.1928
89,0.7442
90,0.1834
91,0.9301
92,0.2704
93,0.8909
94,0.3456
95,0.3362
96,0.8305
97,0.168
98,0.8584
99,0.3377
100,0.4912
101,0.8952
102,1.096
103,1.408
104,0.6851
105,0.4828
106,0.1769
107,0.5667
108,0.6008
109,1.313
110,1.099
111,0.05598
112,1.416
113,0.1759
114,0.07722
115,0.3433
116,1.301
117,1.375
118,0.634
119,0.3856
120,0.288
121,0.4987
122,0.04753
123,0.5085
124,0.8329
125,0.3726
126,0.2091
127,1.437
128,0.5223
129,2.471
130,1.256
131,0.1797
132,2.006
133,1.018
134,1.826
135,1.881
136,0.007145
137,0.1248
138,1.334
139,0.4912
140,0.5321
141,0.5135
142,0.7451
143,0.4053
144,0.81
145,0.2227
146,1.039
147,0.3371
148,0.7674
149,0.5339
150,1.538
151,1.336
152,1.061
153,0.1259
154,0.7753
155,1.032
156,0.5069
157,0.06074
158,1.331
159,0.05342
160,1.371
161,1.477
162,0.5659
163,0.94
164,0.608
165,0.988
166,1.01
167,0.04541
168,1.735
169,0.1231
170,0.6631
171,0.9002
172,1.083
173,0.02422
174,0.1075
175,0.2301
176,0.3797
177,0.6444
178,1.335
179,0.5707
180,1.718
181,0.4797
182,0.1891
183,0.2991
184,1.121
185,0.1888
186,0.2997
187,0.1566
188,1.365
189,0.5434
190,1.052
191,1.235
192,2.3
193,0.1881
194,2.233
195,0.05772
196,0.6345
197,0.2327
198,1.372
199,0.2173
200,0.5256
201,0.2494
202,0.2357
203,0.1205
204,0.7762
205,1.825
206,1.572
207,1.446
208,0.4425
209,0.07366
210,2.325
211,3.166
212,0.3409
213,1.121
214,1.69
215,1.253
216,0.7015
217,0.1126
218,0.4196
219,0.01294
220,1.411
221,0.1363
222,1.363
223,1.012
224,0.8843
225,0.9504
226,0.0333
227,0.4352
228,0.5624
229,0.02437
230,0.5533
231,1.739
232,2.977
233,1.453
234,1.927
235,1.148
236,0.766
237,0.4638
238,0.3398
239,1.851
240,0.5218
241,0.6998
242,0.2969
243,1.733
244,1.399
245,0.883
246,0.216
247,0.8829
248,0.1109
249,1.494
250,0.1002
251,2.236
252,2.908
253,0.58
254,1.689
255,0.7181
256,0.2065
257,1.44
258,0.2136
259,0.6469
260,0.9498
261,1.502
262,1.332
263,1.457
264,1.305
265,0.05329
266,0.5235
267,0.3957
268,0.692
269,0.2431
270,0.5961
271,0.4119
272,0.8842
273,1.08
274,1.295
275,0.3036
276,0.5547
277,0.742
278,0.1822
279,0.2662
280,1.126
281,0.1358
282,0.6057
283,0.07125
284,0.1409
285,0.7183
286,0.3439
287,0.1382
288,0.4388
289,0.2983
290,2.581
291,0.1991
292,0.8837
293,1.822
294,0.1481
295,0.2839
296,1.009
297,1.48
298,0.08686
299,0.08109
300,0.9898
301,0.8497
302,0.2951
303,1.288
304,1.409
305,0.7539
306,0.2371
307,2.102
308,0.4028
309,1.075
310,0.3869
311,1.796
312,1.244
313,0.2586
314,0.4992
315,0.4822
316,1.078
317,0.3
318,0.2912
319,0.3188
320,0.587
321,1.302
322,1.187
323,0.5441
324,1.385
325,2.171
326,1.717
327,0.1011
328,2.182
329,0.177
330,2.422
331,0.1006
332,0.2691
333,1.876
334,1.254
335,1.281
336,1.36
337,0.7372
338,0.2788
339,0.5298
340,0.1538
341,1.432
342,0.547
343,0.718
344,1.515
345,0.2186
346,0.01873
347,0.5001
348,0.5167
349,1.055
350,0.7547
351,0.2285
352,0.2293
353,1.172
354,0.2629
355,0.5899
356,0.9434
357,0.1266
358,0.04479
359,0.6544
360,0.3336
361,1.292
362,1.947
363,0.2349
364,1.669
365,0.5268
366,1.614
367,1.434
368,0.6647
369,1.854
370,1.168
371,1.171
372,1.227
373,0.3108
374,0.7009
375,0.4336
376,0.03952
377,1.447
378,0.5616
379,0.4422
380,1.499
381,2.21
382,0.8601
383,0.1898
384,0.2786
385,1.426
386,0.7817
387,0.6239
388,0.2073
389,0.3477
390,2.549
391,0.8868
392,0.7685
393,1.068
394,0.6325
395,1.664
396,0.01683
397,0.1944
398,2.131
399,2.204
400,0.0483
401,1.187
402,1.22
403,2.061
404,3.007
405,1.215
406,0.08287
407,0.8464
408,1.037
409,0.2018
410,0.4394
411,1.079
412,0.3211
413,0.5599
414,1.571
415,1.068
