t,G,F1,F2,F3
1,0.002427,0.002516,null,null
2,0.002426,0.002516,null,null
3,0.002415,0.0024,null,null
4,0.002398,0.002392,null,null
5,0.002399,0.002393,null,null
6,0.002398,0.00239,null,null
7,0.002397,0.002389,null,null
8,0.002397,0.00239,null,null
9,0.002395,0.002394,null,null
10,0.002393,0.002392,null,null
11,0.002394,0.002397,null,null
12,0.00239,0.002397,null,null
13,0.002391,0.002398,null,null
14,0.00239,0.002398,null,null
15,0.002387,0.0024,null,null
16,0.002386,0.002401,null,null
17,0.002384,0.002403,null,null
18,0.002385,0.002402,null,null
19,0.002386,0.002403,null,null
20,0.002383,0.002405,null,null
21,0.004765,0.004807,null,null
22,0.004764,0.004813,null,null
23,0.004764,0.004814,null,null
24,0.004761,0.004818,null,null
25,0.004757,0.004827,null,null
26,0.004756,0.00483,null,null
27,0.004746,0.004831,null,null
28,0.004747,0.004836,null,null
29,0.004744,0.00484,null,null
30,0.00474,0.004835,null,null
31,0.009485,0.009674,null,null
32,0.009486,0.009672,null,null
33,0.009484,0.009677,null,null
34,0.009483,0.009686,null,null
35,0.009483,0.009676,null,null
36,0.009481,0.009682,null,null
37,0.009478,0.009686,null,null
38,0.009472,0.009685,null,null
39,0.009468,0.009701,null,null
40,0.009455,0.009699,null,null
41,0.009454,0.009708,null,null
42,0.009465,0.009707,null,null
43,0.009464,0.009715,null,null
44,0.009454,0.009714,null,null
45,0.009449,0.009711,null,null
46,0.009443,0.009709,null,null
47,0.009448,0.009719,null,null
48,0.009442,0.009721,null,null
49,0.009445,0.009724,null,null
50,0.009449,0.009722,null,null
51,0.009441,0.00973,null,null
52,0.00944,0.009727,null,null
53,0.009441,0.009728,null,null
54,0.009432,0.009728,null,null
55,0.009428,0.009738,null,null
56,0.009422,0.009743,null,null
57,0.009421,0.009738,null,null
58,0.009424,0.009745,null,null
59,0.009424,0.009751,null,null
60,0.009416,0.009764,null,null
61,0.009407,0.009764,null,null
62,0.009411,0.009767,null,null
63,0.009402,0.009772,null,null
64,0.009399,0.009773,null,null
65,0.009404,0.009768,null,null
66,0.0094,0.009777,null,null
