t,walltime
10,1151
20,1206
30,596.3
40,368.2
50,304.1
60,288.6
70,299.2
80,293.9
90,293.6
100,296.3
110,377.7
120,379.3
130,370.5
140,380.1
150,378.3
160,376.7
170,377.9
180,373.1
190,375.7
200,374.5
210,302.7
220,302.2
230,299.7
240,295.6
250,294.9
260,295.5
270,296.7
280,294.4
290,290.6
300,286.9
310,247.1
320,246.6
330,250.4
340,257
350,273
360,274.4
370,278
380,276.6
390,278.5
400,271.4
410,291.5
420,280.7
430,288.6
440,300.6
450,304.4
460,303.3
470,266.6
480,236.7
490,236.2
500,239.2
510,236.4
520,235.4
530,247.1
540,268.9
550,272.8
560,270.7
570,276.9
580,275.5
590,270.8
600,269
610,274.5
620,260.7
630,258.3
640,261
650,270.7
660,254.7
670,250.2
680,258.1
690,260.2
700,265.2
710,265.6
720,262.7
730,261.9
740,259.6
750,262.3
760,267.2
770,264.6
780,272.3
790,272
800,269.7
810,262.7
820,261.1
830,256.4
840,255.1
850,253.2
860,253
870,254.8
880,261
890,259.3
900,253.7
910,258.1
920,255.1
930,253
940,258.3
950,254.5
960,255.7
970,255.8
980,255.5
990,256
1000,255
1010,257
1020,257
1030,258.2
1040,259.5
1050,262.1
1060,262.9
1070,262
1080,261.3
1090,273.3
1100,276.7
1110,272.3
1120,270.9
1130,267.1
1140,270.8
1150,272.3
1160,257.1
1170,257
1180,257.5
1190,256.7
1200,258.1
1210,278.4
1220,301.7
1230,312.6
1240,317.1
1250,322.7
1260,320.4
1270,273.2
1280,265.2
1290,269
1300,270.6
1310,264.8
1320,263.6
1330,261.7
1340,264.4
1350,264.8
1360,263.1
1370,265.5
1380,262.2
1390,269.3
1400,270.4
1410,265.7
1420,263.5
1430,266.5
1440,270
1450,269.1
1460,263.3
1470,262.7
1480,266.6
1490,266.4
1500,264.7
1510,262.5
1520,263.2
1530,268.1
1540,319.8
1550,310.1
1560,315
1570,320.9
1580,319.4
1590,321.2
1600,325.2
1610,319.6
1620,345.6
1630,348.4
1640,342.5
1650,343.3
1660,349.7
1670,270.3
1680,262.5
1690,263.5
1700,266.2
1710,265.8
1720,262.6
1730,264.2
1740,260.6
1750,268
1760,270.4
1770,262.8
1780,266.8
1790,263.2
1800,268.7
1810,265
1820,268
1830,265.7
1840,267.3
1850,271.3
1860,279.7
1870,262.2
1880,260.4
1890,326.1
1900,352
1910,347.4
1920,350.9
1930,357.9
1940,351.6
1950,345.8
1960,343.3
1970,345.3
1980,340.3
1990,342.9
2000,351.8
2010,313.3
2020,262.4
2030,262.2
2040,264.4
2050,259.8
2060,294.5
2070,309.1
2080,320.5
2090,315.7
2100,299.9
2110,302.3
2120,300.7
2130,306.6
2140,305.6
2150,307.7
2160,303.4
2170,301.2
2180,303.5
2190,304.8
2200,304.7
2210,308.6
2220,307.3
2230,304.3
2240,302.8
2250,307.2
2260,306.3
2270,311.8
2280,308.7
2290,311.6
2300,301.8
2310,271.2
2320,255.6
2330,256.8
2340,254.6
2350,253.2
2360,253.3
2370,302.3
2380,301
2390,301.6
2400,301.9
2410,298.2
2420,288.7
2430,291.4
2440,291.8
2450,262.9
2460,253.4
2470,252.6
2480,251.2
2490,255.5
2500,256.7
2510,299.4
2520,305.7
2530,308.3
2540,305.7
2550,303.7
2560,301.2
2570,314.1
2580,312.8
2590,311.8
2600,308.7
2610,310.8
2620,307.5
2630,297.2
2640,295.5
2650,297.1
2660,301.7
2670,305.2
2680,302.6
2690,306.9
2700,310
2710,302.1
2720,298
2730,304.2
2740,303.3
2750,301.1
2760,301.7
2770,287.4
2780,263
2790,251.3
2800,256.1
2810,260.1
2820,259.3
2830,259
2840,257.6
2850,257.8
2860,260.5
2870,265.9
2880,263.1
2890,256.8
2900,266.6
2910,277.7
2920,275.4
2930,271.6
2940,267.8
2950,269.5
2960,272
2970,255.1
2980,258.3
2990,255.6
3000,258.1
3010,253.9
3020,255
3030,258.9
3040,259.6
3050,257.9
3060,301.3
3070,305.3
3080,303.7
3090,303.4
3100,320.9
3110,318.8
3120,323.4
3130,323.3
3140,321
3150,317.3
3160,317.3
3170,314.7
3180,311.6
3190,308.4
3200,310.6
3210,305.9
3220,302.7
3230,306.9
3240,302.7
3250,309.2
3260,304.2
3270,302.2
3280,303.3
3290,305.2
3300,306.5
3310,303.2
3320,308.3
3330,309
3340,302.1
3350,310.4
3360,308
3370,313.1
3380,308.7
3390,304.5
3400,303.6
3410,304.7
3420,303.2
3430,308
3440,305.5
3450,294.9
3460,289
3470,253.9
3480,254.9
3490,255.9
3500,254
3510,250.2
3520,245.4
3530,243.1
3540,241.7
3550,246.2
3560,260.4
3570,246.3
3580,270.2
3590,298.6
3600,296.1
3610,292.7
3620,289.9
3630,284
3640,285.6
3650,283.7
3660,271.4
3670,273.3
3680,278.9
