MDTU,S_B
1,1.00192
2,1.00147
3,1.00157
4,1.00075
5,1.00221
6,0.999274
7,0.999887
8,0.999803
9,1.00012
10,1.0018
11,1.00031
12,1.00171
13,1.00021
14,1.00102
15,1.00098
16,0.999746
17,0.999224
18,1.00041
19,0.999869
20,1.00079
21,0.998687
22,1.00047
23,1.00112
24,1.00021
25,0.999864
26,0.999864
27,0.999745
28,1.00007
29,0.999731
30,1.00037
31,1.00037
32,1.00037
33,0.998342
34,0.999701
35,1.00028
36,0.999075
37,0.999075
38,1.00069
39,0.999387
40,1.00099
41,1.00099
42,1.00099
43,1.00099
44,0.999823
45,0.998578
46,0.998578
47,0.998578
48,1.00058
49,1.00058
50,1.00045
51,1.00045
52,1.00045
53,0.999426
54,0.999426
55,0.999579
56,0.999579
57,1.00051
58,1.00051
59,0.999678
60,1.00064
61,0.999971
62,0.999971
63,1.00054
64,1.00193
65,1.00193
66,1.00135
67,0.999957
68,0.999917
69,1.00068
70,1.00068
71,0.999562
72,0.999562
73,0.999529
74,1.00037
75,0.999359
76,0.999672
77,1.0008
78,0.998652
79,0.998652
80,0.998652
81,0.998961
82,0.998686
83,0.99954
84,0.999198
85,0.999198
86,0.999198
87,0.999198
88,1.00078
89,0.999804
90,0.999869
91,0.999869
92,0.998631
93,0.99943
94,0.999714
95,0.998817
96,0.9994
97,1.00022
98,1.00022
99,1.00075
100,1.00043
101,1.00039
102,1.00017
103,0.998656
104,0.998472
105,1.00028
106,1.00028
107,1.00028
108,1.00028
109,1.00028
110,1.00028
111,1.00028
112,1.00186
113,1.00062
114,0.999714
115,1.00016
116,0.998239
117,0.999175
118,0.999807
119,0.99984
120,1.00022
121,0.999256
122,1.00048
123,1.00048
124,1.00108
125,1.00108
126,1.00088
127,1.00161
128,1.00161
129,1.00072
130,0.999935
131,0.999935
132,0.998537
133,0.999794
134,0.999794
135,1.00214
136,1.00024
137,1.00088
138,1.00069
139,1.00056
140,1
141,0.99962
142,0.999436
143,0.999436
144,1.0006
145,0.99952
146,1.00096
147,1.00028
148,0.999412
149,0.99832
150,1.00041
151,0.999997
152,1.00003
153,0.998729
154,0.998231
155,0.99961
156,0.99961
157,0.99961
158,1.00102
159,0.99883
160,0.999344
161,0.999636
162,1.00119
163,1.00046
164,1.00043
165,0.998723
166,0.999419
167,0.999419
168,1.00104
169,0.99888
170,0.999493
171,0.999491
172,1.00074
173,1.00074
174,1.00074
175,1.00226
176,1.00046
177,0.999856
178,1.0011
179,0.999432
180,1.00085
181,1.00085
182,1.00036
183,1.00036
184,1.0009
185,0.999818
186,1.00099
187,0.999423
188,0.999489
189,0.999436
190,0.999436
191,1.00086
192,1.00064
193,1.0015
194,0.999104
195,0.999104
196,0.999832
197,0.999832
198,1.00051
199,0.999418
200,0.99987
201,1.00005
202,0.999947
203,0.999947
204,0.999947
205,0.999532
206,1.00055
207,1.0024
208,0.999076
209,1.00057
210,1.0024
211,1.00115
212,0.997777
213,1.00033
214,1.00033
215,1.00077
216,1.00052
217,1.00031
218,0.999206
219,1.00021
220,0.999336
221,1.00007
222,1.00074
223,1.00027
224,1.00027
225,0.999386
226,1.00057
227,1.00057
228,0.999084
229,1.00037
230,0.999802
231,0.999995
232,0.998616
233,0.998477
234,0.999527
235,1.00035
236,1.00113
237,0.999267
238,0.999267
239,0.999267
240,1.0003
241,1.00076
242,1.00042
243,0.99933
244,1.00092
245,0.999093
246,0.999816
247,0.99962
248,0.99962
249,0.999381
250,1.00052
251,0.99872
252,0.9992
253,1.00001
254,0.999057
255,1.00057
256,0.999452
257,0.999452
258,1.00096
259,1.00067
260,0.999277
261,0.998918
262,1.00017
263,0.998618
264,0.999666
265,0.999666
266,0.999666
267,1.00046
268,0.999856
269,0.999415
270,0.999415
271,1.00134
272,1.00033
273,1.00033
274,0.999331
275,1.00041
276,0.999193
277,0.999664
278,1.00035
279,1.00004
280,1.00071
281,1.00071
282,1.00071
283,0.998877
284,0.998877
285,0.999379
286,0.999493
287,1.00009
288,0.998997
289,0.999565
290,1.00005
291,1.00131
292,0.999008
293,0.999893
294,0.999211
295,0.999101
296,0.999101
297,0.999101
298,0.999938
299,0.999294
300,0.998505
301,0.999858
302,0.999285
303,1.00023
304,1.00023
305,1.00011
306,0.999437
307,1.00002
308,0.999766
309,0.999915
310,1.0021
311,1.00021
312,0.999036
313,1.00163
314,0.998673
315,0.998673
316,0.999697
317,0.999155
318,0.998883
319,0.998883
320,0.998883
321,0.998883
322,1.00111
323,1.00071
324,0.998408
325,0.998506
326,0.999794
327,0.999384
328,1.00014
329,1.00014
330,1.00027
331,1.00027
332,0.999996
333,0.998722
334,1.00004
335,1.00174
336,1.00174
337,1.00031
338,1.00031
339,0.998385
340,0.999534
341,0.999534
342,0.999317
343,0.99988
344,0.998849
345,1.00007
346,0.999014
347,0.998008
348,1.00035
349,0.999229
350,0.99944
351,1.00046
352,0.999464
353,1.0004
354,0.999431
355,1.00101
356,1.00049
357,1.00092
358,1.00092
359,1.00044
360,0.998986
361,0.998428
362,0.998134
363,0.998134
364,0.99976
365,0.999349
366,0.998463
367,1.00021
368,1.00021
369,1.00021
370,0.99974
371,0.99974
372,0.998564
373,0.998564
374,0.999998
375,0.999952
376,0.999782
377,0.998869
378,0.999476
379,1.00023
380,0.997933
381,0.998743
382,0.998743
383,0.999512
384,0.999512
385,0.99997
386,0.999362
387,0.999362
388,0.998408
389,0.99914
390,1.00009
391,1.00003
392,0.998532
393,1.00091
394,0.999722
395,0.999722
396,0.999659
397,1.00039
398,1.00123
399,1.00057
400,1.00056
401,0.999258
402,0.998673
403,0.998139
404,0.998235
405,1.00124
406,0.999521
407,1.00113
408,1.00113
409,0.999555
410,0.999237
411,0.999001
412,0.999341
413,0.999754
414,0.999127
415,0.999819
416,1.00088
417,0.99977
418,0.99977
419,1.00045
420,1.00137
421,0.999375
422,1.0004
423,0.999527
424,0.999277
425,0.999202
426,0.998521
427,0.998521
428,1.0015
429,1.0015
430,0.999413
431,1.00093
432,0.998437
433,0.998437
434,0.998437
435,1.00043
436,0.99819
437,1.00151
438,0.999942
439,0.999942
440,0.999824
441,0.999915
442,1.00086
443,1.00086
444,0.999336
445,0.999648
446,0.999822
447,0.999822
448,0.999683
449,0.999683
450,0.999683
451,0.999476
452,0.999309
453,1.00047
454,1.00063
455,0.999762
456,0.999762
457,0.999833
458,0.999833
459,0.9988
460,1.00064
461,1.00064
462,1.00096
463,0.999202
464,1.00025
465,1.00048
466,1.0011
467,1.0011
468,1.00018
469,0.99988
470,0.999136
471,0.999136
472,0.999136
473,0.999717
474,0.999928
475,0.998784
476,0.998603
477,0.998417
478,0.99873
479,0.99873
480,0.99873
481,1.00047
482,0.998664
483,1.00075
484,0.999263
485,0.999677
486,0.999256
487,0.999256
488,1.00009
489,1.00068
490,0.999073
491,0.999436
492,0.999436
493,0.998796
494,0.998796
495,0.998796
496,0.999408
497,0.998368
498,0.998368
499,0.999471
500,0.999616
501,1.00004
502,1.00004
503,1.00004
504,1.00004
505,0.999528
506,1.00102
507,0.99795
508,1.00084
509,0.999107
510,1.00088
511,1.00075
512,1.00045
513,0.999479
514,0.999801
515,1.00065
516,1.00065
517,1.00065
518,0.999286
519,1.00042
520,0.999248
521,1.00015
522,1.00023
523,1.00023
524,1.00107
525,0.999435
526,1.00068
527,0.999477
528,0.99946
529,0.999438
530,0.999438
531,1.00047
532,0.99922
533,0.998367
534,1.00131
535,0.999931
536,0.999823
537,0.999984
538,0.999984
539,0.998514
540,1.00012
541,1.00012
542,1.00012
543,1.00012
544,1.00038
545,0.999755
546,0.999528
547,0.999724
548,1.00116
549,0.999581
550,0.998838
551,1.00063
552,1.00012
553,1.00012
554,0.99875
555,0.998481
556,1.00152
557,0.999035
558,0.999208
559,0.999822
560,0.998859
561,0.999123
562,0.999191
563,0.999784
564,0.998963
565,0.998963
566,0.998963
567,0.999466
568,1.00065
569,0.997986
570,1.00027
571,0.998981
572,1.00068
573,1.00068
574,1.00068
575,0.999863
576,0.999863
577,0.999385
578,0.998867
579,0.998867
580,0.999627
581,0.998601
582,0.998792
583,0.999542
584,1.0019
585,0.999799
586,1.00113
587,1.00028
588,1.00044
589,1.00036
590,0.999445
591,1.00106
592,1.00106
593,1.00041
594,1.00106
595,1.00006
596,1.00025
597,0.999062
598,1.00014
599,0.999246
600,0.999587
601,0.998946
602,1.00005
603,0.99967
604,0.99967
605,1.00037
606,0.999536
607,1.00004
608,0.999235
609,1.00032
610,1.00032
611,0.998934
612,0.999433
613,0.998843
614,0.998843
615,1.00066
616,0.999181
617,1.00015
618,0.99815
619,0.998854
620,0.998854
621,0.99901
622,1.00069
623,1.00017
624,1.00017
625,1.00052
626,0.997723
627,1.0002
628,1.00019
629,1.00034
630,0.999529
631,0.999469
632,0.999383
633,0.999383
634,0.999457
635,1.00014
636,1.00014
637,1.00011
638,1.00011
639,0.999681
640,1.00068
641,1.00066
642,1.0003
643,1.0007
644,0.999854
645,1.00096
646,0.9999
647,1.00047
648,1.00021
649,1.00049
650,0.999702
651,0.999702
652,0.998119
653,0.997656
654,0.997656
655,0.999472
656,0.999805
657,0.998238
658,1.00126
659,1.00126
660,1.00126
661,0.999129
662,1.00085
663,0.999034
664,0.999034
665,0.999941
666,1.00031
667,0.999549
668,0.999109
669,0.998466
670,1.0003
671,1.0003
672,1.0003
673,0.998142
674,1.00039
675,0.999682
676,0.999682
677,0.999682
678,0.999741
679,0.999741
680,0.999301
681,0.999301
682,0.999761
683,0.999981
684,1.00092
685,1.00049
686,0.999999
687,0.999443
688,0.999443
689,0.99903
690,0.99895
691,0.99895
692,1.00036
693,0.99897
694,1.00047
695,1.00047
696,0.999064
697,0.999269
698,1.00005
699,1.00005
700,1.00005
701,1.00005
702,1.00005
703,0.999674
704,0.999674
705,0.999674
706,0.999674
707,0.999163
708,0.999163
709,0.999163
710,0.998642
711,0.999862
712,0.999434
713,0.999421
714,0.998751
715,1.0007
716,0.999635
717,0.999675
718,0.999893
719,0.998711
720,0.999785
721,0.998647
722,1.0001
723,1.00006
724,1.00001
725,0.996486
726,0.999018
727,0.999197
728,0.999672
729,0.999805
730,1.00062
731,0.999523
732,0.999672
733,0.999722
734,0.999107
735,0.999107
736,0.999946
737,1.00025
738,0.998912
739,0.999314
740,0.999314
741,1.00028
742,1.00014
743,1.00014
744,1.00014
745,1.00021
746,1.00002
747,1.00002
748,0.997785
749,0.999026
750,0.999026
751,0.998227
752,0.999395
753,0.999395
754,0.999201
755,1.00082
756,0.999169
757,0.999095
758,0.999461
759,1.00095
760,1.00163
761,0.999314
762,0.999373
763,0.999904
764,1.00055
765,1.00049
766,0.99969
767,0.998669
768,1.00032
769,1.0003
770,0.998376
771,0.999603
772,0.999603
773,0.999672
774,0.999672
775,1.0007
776,0.99972
777,1.00025
778,0.998739
779,0.998739
780,0.998739
781,0.999433
782,0.999547
783,1.00091
784,1.00091
785,1.00146
786,1.00023
787,1.00027
788,1.00032
789,0.997924
790,1.00076
791,0.998843
792,0.99895
793,0.99895
794,0.99895
795,0.999952
796,0.999706
797,1.0011
798,0.999204
799,0.999204
800,0.999204
801,0.999204
802,1.00189
803,1.00025
804,1.0003
805,1.00036
806,0.999942
807,0.999931
808,0.999059
809,0.999653
810,1.00035
811,0.999285
812,0.999285
813,1.00025
814,0.997591
815,0.997591
816,1.00123
817,1.00123
818,1.00022
819,0.998675
820,0.998675
821,0.997768
822,0.999188
823,0.999099
824,0.999099
825,0.999698
826,0.999698
827,0.999698
828,0.999869
829,0.999476
830,0.9997
831,0.997951
832,0.998516
833,0.998516
834,0.999828
835,0.999828
836,0.999828
837,0.999871
838,0.999389
839,1.00017
840,1.00017
841,1.00017
842,1.00012
843,1.00019
844,0.999788
845,0.999788
846,0.999788
847,0.99918
848,1.00107
849,1.00043
850,0.999414
851,0.999414
852,0.999456
853,1.00084
854,0.999342
855,1.00093
856,1.00047
857,0.998915
858,0.99955
859,0.99955
860,0.998973
861,0.999138
862,1.00106
863,0.999086
864,0.999086
865,0.999432
866,0.999196
867,0.999444
868,0.999444
869,0.997929
870,0.99931
871,0.99931
872,0.99931
873,0.99931
874,0.99983
875,0.999416
876,1.0004
877,0.998787
878,1.00004
879,1.00004
880,0.998687
881,1.00045
882,0.999655
883,0.999823
884,0.999823
885,0.999823
886,0.999823
887,0.999761
888,0.998811
889,0.998811
890,1.00061
891,0.998347
892,1.00047
893,0.998577
894,0.998326
895,0.999674
896,0.998873
897,0.99941
898,0.99941
899,1.00005
900,1.00005
901,1.00005
902,1.00058
903,0.999915
904,0.999915
905,0.999423
906,0.999418
907,1.00063
908,0.998878
909,0.998908
910,1.0003
911,0.999268
912,1.00109
913,0.999905
914,1.00006
915,0.999266
916,0.998457
917,0.998457
918,1.00003
919,0.99857
920,0.998241
921,1.00001
922,1.00066
923,0.999301
924,0.999796
925,0.999205
926,1.0003
927,0.999994
928,0.999125
929,0.999125
930,1.00103
931,0.999633
932,0.998891
933,1.00039
934,1.00007
935,1.00066
936,0.998916
937,1.00144
938,0.999879
939,0.999673
940,0.999906
941,0.999133
942,0.998623
943,0.998744
944,0.998744
945,0.997904
946,0.997904
947,1.00035
948,0.999093
949,1.00038
950,1.00049
951,0.999796
952,1.00058
953,1.00131
954,1.0007
955,0.999917
956,1.00002
957,1.00026
958,0.999556
959,0.999714
960,1.00049
961,1.00049
962,1.00052
963,0.9999
964,0.999905
965,0.999247
966,0.999321
967,0.999321
968,0.999384
969,0.999139
970,0.999228
971,1.00026
972,1.00026
973,1.00026
974,0.999724
975,0.999724
976,0.998384
977,1.0004
978,0.998965
979,1.00017
980,1.00005
981,0.998967
982,0.998323
983,0.999152
984,0.999323
985,0.999406
986,1.00019
987,1.00028
988,0.999664
989,0.999704
990,0.998443
991,0.999382
992,1.00064
993,1.00028
994,0.999091
995,0.999091
996,1.00039
997,1.00034
998,0.999299
999,0.998639
1000,0.999108
1001,0.999182
1002,0.998555
1003,0.999045
1004,0.999208
1005,0.999992
1006,0.999992
1007,0.998626
1008,1.00076
1009,0.999634
1010,0.99911
1011,0.99911
1012,1.00019
1013,1.00172
1014,0.999723
1015,0.99965
1016,0.99965
1017,0.999702
1018,1.00032
1019,0.99951
1020,0.998249
1021,0.999818
1022,0.999818
1023,0.999303
1024,1.00074
1025,0.998231
1026,0.999421
