MDTU,plaq,Re(det),Im(det),link
1,0.556521,0.556116,0.185442,0.0590004
2,0.556521,0.556116,0.185442,0.0590004
3,0.556521,0.556116,0.185442,0.0590004
4,0.660357,1.44262,0.459615,0.0686543
5,0.650433,1.37611,0.44279,0.0678041
6,0.647476,1.40308,0.451083,0.0673181
7,0.627293,1.37299,0.447664,0.0652621
8,0.63196,1.38036,0.449483,0.0656605
9,0.658164,1.43424,0.455611,0.0683754
10,0.630363,1.36506,0.44268,0.0654872
11,0.631343,1.33463,0.431611,0.0657497
12,0.637899,1.37247,0.438557,0.0660121
13,0.591626,1.2203,0.408911,0.061504
14,0.600473,1.22544,0.408984,0.0625256
15,0.595095,1.20322,0.40364,0.0619212
16,0.618996,1.22928,0.4044,0.064632
17,0.632277,1.23518,0.397247,0.0661924
18,0.608679,1.193,0.39593,0.0635922
19,0.597839,1.17807,0.395009,0.0625247
20,0.601516,1.2069,0.403077,0.0629395
21,0.610887,1.21741,0.407042,0.0638815
22,0.617359,1.23167,0.405893,0.0643929
23,0.635854,1.27544,0.41426,0.0665876
24,0.647507,1.28463,0.415519,0.0676378
25,0.647507,1.28463,0.415519,0.0676378
26,0.641747,1.30215,0.418499,0.0669634
27,0.623241,1.2363,0.407701,0.0652564
28,0.627088,1.25699,0.40959,0.0654513
29,0.627088,1.25699,0.40959,0.0654513
30,0.627088,1.25699,0.40959,0.0654513
31,0.643181,1.28448,0.410612,0.0671313
32,0.627807,1.25134,0.410122,0.0656465
33,0.622483,1.248,0.409623,0.0651156
34,0.604529,1.20458,0.403487,0.0631943
35,0.590127,1.17737,0.402446,0.0616994
36,0.587698,1.16043,0.397609,0.0615877
37,0.592708,1.16019,0.395416,0.0620702
38,0.605784,1.20019,0.400558,0.063413
39,0.605258,1.23537,0.411734,0.0630753
40,0.618874,1.2769,0.414545,0.0645219
41,0.621156,1.27742,0.417575,0.0647501
42,0.603109,1.22879,0.410363,0.062855
43,0.617505,1.24038,0.404876,0.0643047
44,0.614067,1.21346,0.399821,0.0640382
45,0.609685,1.18956,0.393948,0.0637267
46,0.60472,1.16609,0.386305,0.0634771
47,0.60472,1.16609,0.386305,0.0634771
48,0.609515,1.17165,0.387451,0.0638779
49,0.609515,1.17165,0.387451,0.0638779
50,0.619731,1.20565,0.393094,0.0646728
51,0.599786,1.14059,0.376499,0.0628226
52,0.582779,1.11268,0.374757,0.0611176
53,0.582779,1.11268,0.374757,0.0611176
54,0.579843,1.08941,0.369798,0.0607951
55,0.599453,1.13615,0.380278,0.0628337
56,0.600335,1.11186,0.369918,0.0627932
57,0.592831,1.08608,0.367395,0.0622131
58,0.592831,1.08608,0.367395,0.0622131
59,0.592831,1.08608,0.367395,0.0622131
60,0.613032,1.11688,0.367379,0.0645737
61,0.623322,1.12199,0.366648,0.065654
62,0.642868,1.15984,0.367097,0.0676948
63,0.642868,1.15984,0.367097,0.0676948
64,0.6274,1.1393,0.37042,0.0657047
65,0.647421,1.18098,0.37676,0.0677311
66,0.634035,1.15128,0.370667,0.0664139
67,0.637049,1.169,0.37608,0.066593
68,0.634291,1.12731,0.362927,0.0664833
69,0.639288,1.12504,0.359001,0.0671054
70,0.65774,1.19304,0.377839,0.0690214
71,0.65774,1.19304,0.377839,0.0690214
72,0.68735,1.24337,0.381391,0.0722588
73,0.68735,1.24337,0.381391,0.0722588
74,0.671277,1.2242,0.37794,0.0703943
75,0.676088,1.24567,0.384463,0.0708773
76,0.679761,1.25315,0.386223,0.0711592
77,0.705643,1.30939,0.3913,0.0736799
78,0.716262,1.34096,0.398953,0.0747233
79,0.686071,1.2629,0.38739,0.0716334
80,0.676217,1.23563,0.38056,0.0704961
81,0.676217,1.23563,0.38056,0.0704961
82,0.676217,1.23563,0.38056,0.0704961
83,0.673939,1.23008,0.380484,0.0703159
84,0.653908,1.22018,0.385216,0.0678386
85,0.634413,1.20313,0.388063,0.0658627
86,0.603029,1.07177,0.354879,0.0631808
87,0.611955,1.11829,0.367431,0.063952
88,0.611955,1.11829,0.367431,0.063952
89,0.628078,1.1612,0.377061,0.0654737
90,0.614258,1.11962,0.368541,0.0641241
91,0.61343,1.10236,0.363227,0.0644226
92,0.63207,1.1285,0.361738,0.0662583
93,0.613606,1.08709,0.358469,0.0644737
94,0.601878,1.04407,0.346825,0.0631792
95,0.605992,1.08021,0.356613,0.0634794
96,0.610054,1.0872,0.359725,0.0637611
97,0.656277,1.17287,0.369597,0.068775
98,0.660129,1.20377,0.378088,0.0690248
99,0.641082,1.16482,0.370595,0.0671265
100,0.634022,1.11791,0.361773,0.0665667
101,0.634288,1.15341,0.375766,0.066379
102,0.605649,1.05447,0.354142,0.0637154
103,0.597878,1.04406,0.350525,0.0630548
104,0.598607,1.00162,0.336399,0.0630935
105,0.623151,1.05382,0.344719,0.0659365
