MDTU,|Tr(Lx)|,|Tr(Ly)|,|Tr(Lz)|,|Tr(L5)|
1,0.99336,0.408411,0.204849,0.00282194
2,0.993318,0.389974,0.259914,0.00174468
3,0.993264,0.383448,0.208853,0.00484911
4,0.993281,0.3909,0.270148,0.00152352
5,0.993277,0.424694,0.239921,0.00373304
6,0.993245,0.404229,0.216686,0.00140812
7,0.993104,0.400221,0.213896,0.00267948
8,0.993205,0.437781,0.214309,0.00244535
9,0.993107,0.409866,0.192178,0.00492009
10,0.993048,0.378904,0.202533,0.00151948
11,0.993155,0.371761,0.229056,0.00291455
12,0.993101,0.33914,0.220343,0.00199961
13,0.993105,0.333755,0.222578,0.00245833
14,0.993183,0.309154,0.187565,0.0049997
15,0.993198,0.252832,0.24744,0.00319977
16,0.993223,0.23829,0.259035,0.00445007
17,0.993195,0.297013,0.200113,0.002715
18,0.993237,0.290355,0.232393,0.00485883
19,0.993196,0.197905,0.268651,0.00386944
20,0.993196,0.197905,0.268651,0.00386944
21,0.993196,0.197905,0.268651,0.00386944
22,0.993217,0.215119,0.260347,0.00159445
23,0.993279,0.187467,0.237766,0.00208282
24,0.993171,0.199322,0.227571,0.00374491
25,0.993171,0.206532,0.254512,0.00252579
26,0.993251,0.18798,0.298069,0.00263998
27,0.993196,0.200736,0.293058,0.00482674
28,0.993058,0.207023,0.337276,0.00607713
29,0.993067,0.189243,0.368809,0.00493741
30,0.993067,0.189243,0.368809,0.00493741
31,0.993076,0.199757,0.385369,0.00240367
32,0.993096,0.256277,0.385489,0.00284517
33,0.993114,0.294192,0.369455,0.0020909
34,0.993194,0.297162,0.324072,0.000997858
35,0.99316,0.356186,0.358042,0.00336283
36,0.993079,0.370323,0.305154,0.00572294
37,0.993007,0.344521,0.291401,0.005486
38,0.993007,0.344521,0.291401,0.005486
39,0.993073,0.327717,0.285841,0.00356884
40,0.992988,0.363556,0.272738,0.00238903
41,0.993115,0.332664,0.304199,0.00569085
42,0.993115,0.332664,0.304199,0.00569085
43,0.993148,0.380204,0.301265,0.0012953
44,0.993137,0.402495,0.286162,0.00572758
45,0.993253,0.42239,0.28119,0.00891403
46,0.993223,0.396502,0.259602,0.00335773
47,0.99318,0.360848,0.2789,0.00647516
48,0.993172,0.347843,0.26667,0.00670877
49,0.993098,0.374252,0.370604,0.00215042
50,0.993098,0.374252,0.370604,0.00215042
51,0.99317,0.327855,0.388122,0.0028108
52,0.993147,0.378064,0.348424,0.00534542
53,0.993147,0.378064,0.348424,0.00534542
54,0.993147,0.38358,0.325011,0.00332246
55,0.993126,0.418616,0.334278,0.00345385
56,0.993112,0.396275,0.346588,0.00624674
57,0.993112,0.396275,0.346588,0.00624674
58,0.993083,0.395191,0.347715,0.00220744
59,0.992993,0.369644,0.330322,0.00221273
60,0.993065,0.394381,0.245095,0.0054592
61,0.993065,0.394381,0.245095,0.0054592
62,0.993025,0.376663,0.353257,0.00290505
63,0.993089,0.346364,0.326114,0.00723165
64,0.993089,0.346364,0.326114,0.00723165
65,0.993117,0.342552,0.334096,0.00456237
66,0.99317,0.37752,0.301977,0.000871814
67,0.993124,0.337782,0.307975,0.0024124
68,0.993124,0.337782,0.307975,0.0024124
69,0.993083,0.339641,0.317661,0.00382076
70,0.993156,0.333664,0.2883,0.00304583
71,0.993156,0.333664,0.2883,0.00304583
72,0.993097,0.271411,0.333487,0.00263598
73,0.992963,0.312487,0.323574,0.00454961
74,0.993099,0.352097,0.294791,0.00401028
75,0.993151,0.357983,0.238943,0.00209162
76,0.993074,0.370182,0.226131,0.00257011
77,0.993077,0.387746,0.208606,0.00421101
78,0.993059,0.387202,0.192974,0.000266448
79,0.993041,0.374644,0.231344,0.000957073
80,0.993041,0.374644,0.231344,0.000957073
81,0.993026,0.358753,0.222295,0.00446606
82,0.993007,0.365359,0.218835,0.00325334
83,0.992881,0.410018,0.215045,0.00169457
84,0.99292,0.411831,0.211535,0.00479078
85,0.992951,0.482721,0.159559,0.00551691
86,0.992951,0.482721,0.159559,0.00551691
87,0.992867,0.421032,0.159342,0.00379967
88,0.992867,0.421032,0.159342,0.00379967
89,0.992959,0.48134,0.0987387,0.00439627
90,0.992965,0.483574,0.105305,0.00153654
91,0.992965,0.483574,0.105305,0.00153654
92,0.992873,0.449233,0.0772646,0.00591541
93,0.992873,0.449233,0.0772646,0.00591541
94,0.992873,0.449233,0.0772646,0.00591541
95,0.992872,0.440969,0.106326,0.000367285
96,0.992872,0.440969,0.106326,0.000367285
97,0.992872,0.440969,0.106326,0.000367285
98,0.992867,0.410516,0.0958659,0.00572298
99,0.992918,0.407317,0.0446478,0.00605674
100,0.992934,0.437957,0.0760995,0.00287535
101,0.992934,0.437957,0.0760995,0.00287535
102,0.99295,0.376472,0.0775001,0.00267369
103,0.992865,0.360855,0.113616,0.00174045
104,0.992916,0.392549,0.181935,0.00281166
105,0.992916,0.392549,0.181935,0.00281166
106,0.9929,0.420145,0.183959,0.00329187
107,0.992919,0.381992,0.144066,0.00724334
108,0.992919,0.381992,0.144066,0.00724334
109,0.992853,0.351296,0.0969979,0.00112394
110,0.992853,0.351296,0.0969979,0.00112394
111,0.992899,0.399171,0.0837317,0.00505152
112,0.992899,0.399171,0.0837317,0.00505152
113,0.992899,0.399171,0.0837317,0.00505152
114,0.992932,0.394753,0.136854,0.00558771
115,0.992884,0.43336,0.158014,0.00161004
116,0.992849,0.426587,0.129879,0.00191504
117,0.992827,0.43346,0.130962,0.00313629
118,0.992827,0.43346,0.130962,0.00313629
119,0.992843,0.422715,0.169297,0.00513396
120,0.992961,0.473349,0.176381,0.0042669
121,0.992869,0.448875,0.180618,0.00792504
122,0.992921,0.447817,0.170786,0.0032336
123,0.992921,0.447817,0.170786,0.0032336
124,0.992855,0.416901,0.130106,0.00515542
125,0.992761,0.381036,0.166162,0.00530411
126,0.992761,0.381036,0.166162,0.00530411
127,0.992849,0.379794,0.162905,0.00235831
128,0.99276,0.391768,0.161395,0.00455704
129,0.99276,0.391768,0.161395,0.00455704
130,0.99276,0.391768,0.161395,0.00455704
131,0.9928,0.3773,0.179158,0.00448141
132,0.9928,0.3773,0.179158,0.00448141
133,0.992869,0.398185,0.212241,0.00233014
134,0.992869,0.398185,0.212241,0.00233014
135,0.992805,0.386254,0.20613,0.00219039
136,0.992805,0.386254,0.20613,0.00219039
137,0.992805,0.386254,0.20613,0.00219039
138,0.99272,0.29651,0.2136,0.00598531
139,0.992808,0.28221,0.21513,0.00354863
140,0.992822,0.285395,0.140261,0.00605406
141,0.992822,0.285395,0.140261,0.00605406
142,0.992822,0.285395,0.140261,0.00605406
143,0.992822,0.285395,0.140261,0.00605406
144,0.992692,0.300708,0.180405,0.00927568
145,0.992759,0.286352,0.228275,0.00408855
146,0.992741,0.307111,0.19654,0.00437935
147,0.992783,0.308588,0.189135,0.0014183
148,0.992838,0.298131,0.160506,0.00283587
149,0.992814,0.336232,0.173624,0.00449801
150,0.992814,0.336232,0.173624,0.00449801
151,0.992814,0.336232,0.173624,0.00449801
152,0.992786,0.325205,0.152175,0.00212638
153,0.992786,0.325205,0.152175,0.00212638
154,0.992803,0.355821,0.129116,0.00256718
155,0.992803,0.355821,0.129116,0.00256718
156,0.992803,0.355821,0.129116,0.00256718
157,0.992962,0.357502,0.164374,0.000965123
158,0.992937,0.383956,0.167848,0.00197982
159,0.992937,0.383956,0.167848,0.00197982
160,0.992937,0.383956,0.167848,0.00197982
161,0.992937,0.383956,0.167848,0.00197982
162,0.992901,0.341143,0.122794,0.00572739
163,0.992805,0.38952,0.116241,0.00613444
164,0.992805,0.38952,0.116241,0.00613444
165,0.992843,0.366406,0.100033,0.00444679
166,0.992915,0.362555,0.119341,0.00174239
167,0.992915,0.362555,0.119341,0.00174239
168,0.992939,0.386968,0.165433,0.00509796
169,0.992896,0.409708,0.152008,0.00360573
170,0.992915,0.428118,0.183264,0.00217967
171,0.992915,0.428118,0.183264,0.00217967
172,0.992892,0.414223,0.197577,0.0012324
173,0.992892,0.414223,0.197577,0.0012324
174,0.992892,0.414223,0.197577,0.0012324
175,0.992944,0.370216,0.169943,0.00421859
176,0.99298,0.345708,0.148817,0.0013983
177,0.99298,0.345708,0.148817,0.0013983
178,0.99298,0.345708,0.148817,0.0013983
179,0.993036,0.347205,0.174768,0.00140193
180,0.992956,0.389212,0.193766,0.00218496
181,0.992999,0.399942,0.179644,0.00166633
182,0.992999,0.399942,0.179644,0.00166633
183,0.992978,0.376435,0.172255,0.00409396
184,0.992978,0.376435,0.172255,0.00409396
185,0.992963,0.377454,0.153585,0.00431137
186,0.993075,0.38291,0.148079,0.00163589
187,0.992948,0.352897,0.131734,0.00191275
188,0.993014,0.369802,0.129508,0.0070856
189,0.992938,0.394215,0.17985,0.00280781
190,0.992955,0.45199,0.152043,0.00575548
191,0.992955,0.45199,0.152043,0.00575548
192,0.992923,0.408976,0.109434,0.00370268
193,0.992926,0.43512,0.167355,0.003675
194,0.992779,0.399009,0.193907,0.00213989
195,0.992885,0.380913,0.191076,0.000467218
196,0.992863,0.335505,0.191506,0.00138398
197,0.992863,0.335505,0.191506,0.00138398
198,0.992863,0.335505,0.191506,0.00138398
199,0.992914,0.353376,0.191307,0.0058472
200,0.992868,0.372233,0.194609,0.00388486
201,0.992937,0.313486,0.126216,0.00573223
202,0.992937,0.313486,0.126216,0.00573223
203,0.992991,0.345191,0.148726,0.00299007
204,0.992932,0.3318,0.126807,0.00226473
205,0.992905,0.339172,0.145107,0.00382627
206,0.992905,0.339172,0.145107,0.00382627
207,0.992905,0.339172,0.145107,0.00382627
208,0.992905,0.339172,0.145107,0.00382627
209,0.992905,0.339172,0.145107,0.00382627
210,0.992905,0.339172,0.145107,0.00382627
211,0.992927,0.347509,0.149572,0.00362739
212,0.992927,0.347509,0.149572,0.00362739
213,0.992927,0.347509,0.149572,0.00362739
214,0.992927,0.347509,0.149572,0.00362739
215,0.992927,0.347509,0.149572,0.00362739
