MDTU,|det-1|^2,1-Re(det),Im(det)
1,0.822668,0.903606,-7.55551e-05
2,0.808452,0.89473,-9.76246e-05
3,0.803221,0.891503,2.16168e-05
4,0.807845,0.894748,-0.00015106
5,0.806497,0.893955,-7.56107e-05
6,0.795771,0.887113,7.03963e-05
7,0.798938,0.889106,-3.62289e-05
8,0.786645,0.881513,5.30388e-05
9,0.795155,0.887533,4.67296e-05
10,0.789834,0.884686,6.88183e-05
11,0.77484,0.87519,-5.69969e-05
12,0.77484,0.87519,-5.69969e-05
13,0.771928,0.873192,-5.26307e-05
14,0.756029,0.862825,0.000114473
15,0.760965,0.866221,-7.53485e-05
16,0.759974,0.865937,-7.08644e-06
17,0.770345,0.872766,-1.56476e-05
18,0.770345,0.872766,-1.56476e-05
19,0.775451,0.876137,1.69134e-06
20,0.775451,0.876137,1.69134e-06
21,0.752874,0.86143,-0.00010194
22,0.752874,0.86143,-0.00010194
23,0.752874,0.86143,-0.00010194
24,0.752874,0.86143,-0.00010194
25,0.752874,0.86143,-0.00010194
26,0.752874,0.86143,-0.00010194
27,0.739636,0.852138,-7.84967e-05
28,0.724249,0.840454,0.000118632
29,0.717732,0.83638,-0.000110238
30,0.717732,0.83638,-0.000110238
31,0.717732,0.83638,-0.000110238
32,0.717732,0.83638,-0.000110238
33,0.717732,0.83638,-0.000110238
34,0.725538,0.842994,-0.000100842
35,0.7206,0.839453,-9.55625e-06
36,0.72026,0.840132,0.000181587
37,0.72026,0.840132,0.000181587
38,0.719054,0.839634,0.000165707
39,0.716031,0.838169,0.000122886
40,0.711453,0.834564,0.0001099
41,0.711453,0.834564,0.0001099
42,0.711453,0.834564,0.0001099
43,0.697414,0.825185,0.000108875
44,0.697745,0.824822,7.69844e-05
45,0.673764,0.807541,-6.21599e-05
46,0.691319,0.821467,8.29224e-05
47,0.697221,0.826291,-9.19819e-07
48,0.697221,0.826291,-9.19819e-07
49,0.697221,0.826291,-9.19819e-07
50,0.696755,0.825199,8.93698e-05
51,0.702365,0.828777,1.46932e-05
52,0.681289,0.813452,1.37531e-05
53,0.677083,0.810989,-9.34062e-05
54,0.667585,0.805026,-0.000147831
55,0.667585,0.805026,-0.000147831
56,0.661563,0.800727,-4.85611e-05
57,0.661112,0.801738,1.98453e-05
58,0.640126,0.786154,-4.30928e-06
59,0.640126,0.786154,-4.30928e-06
60,0.640126,0.786154,-4.30928e-06
61,0.628898,0.773392,0.000149349
62,0.628898,0.773392,0.000149349
63,0.626306,0.77284,-5.88841e-05
64,0.626306,0.77284,-5.88841e-05
65,0.61261,0.760088,-0.000259421
66,0.61261,0.760088,-0.000259421
67,0.637528,0.781432,-0.000253699
68,0.637528,0.781432,-0.000253699
69,0.634663,0.779228,-0.000177754
70,0.634663,0.779228,-0.000177754
71,0.634663,0.779228,-0.000177754
72,0.609634,0.760059,0.000167984
73,0.609634,0.760059,0.000167984
74,0.613893,0.763867,-0.000166675
75,0.621722,0.768842,-0.000182711
76,0.621722,0.768842,-0.000182711
77,0.628662,0.774892,0.000223685
78,0.628662,0.774892,0.000223685
79,0.615099,0.764499,0.000193753
80,0.631272,0.779235,-4.68441e-05
81,0.612908,0.764454,0.000223345
82,0.610742,0.764491,-0.000187931
83,0.610742,0.764491,-0.000187931
84,0.611654,0.7656,-0.000111795
85,0.611654,0.7656,-0.000111795
86,0.588083,0.746446,9.81858e-05
87,0.566198,0.727067,0.000321784
88,0.566198,0.727067,0.000321784
89,0.582685,0.73958,0.00012346
90,0.582685,0.73958,0.00012346
91,0.603482,0.757057,-3.32516e-05
92,0.603482,0.757057,-3.32516e-05
93,0.597488,0.750717,-0.000176678
94,0.597488,0.750717,-0.000176678
95,0.597488,0.750717,-0.000176678
96,0.597488,0.750717,-0.000176678
97,0.597488,0.750717,-0.000176678
98,0.594946,0.751523,0.000170791
99,0.594946,0.751523,0.000170791
100,0.596179,0.754717,0.000273118
101,0.596179,0.754717,0.000273118
102,0.596179,0.754717,0.000273118
103,0.596179,0.754717,0.000273118
104,0.595911,0.755296,6.3651e-05
105,0.604116,0.760926,-0.000143623
