MDTU,plaq_ss,plaq_st
1,1.14622,1.35027
2,1.13337,1.33453
3,1.14384,1.33199
4,1.14743,1.33494
5,1.14767,1.33579
6,1.15059,1.33099
7,1.15454,1.33115
8,1.14816,1.3293
9,1.14189,1.32186
10,1.14093,1.31615
11,1.13789,1.31559
12,1.12885,1.3027
13,1.12686,1.30179
14,1.11797,1.29791
15,1.11276,1.30305
16,1.10975,1.30087
17,1.11084,1.2897
18,1.10852,1.29458
19,1.11207,1.29039
20,1.10563,1.29134
21,1.11094,1.29299
22,1.11025,1.2905
23,1.11104,1.28488
24,1.11776,1.28822
25,1.1133,1.2838
26,1.11397,1.27837
27,1.11872,1.27758
28,1.11756,1.27605
29,1.11146,1.26498
30,1.10801,1.268
31,1.10773,1.25906
32,1.1047,1.26055
33,1.10196,1.2652
34,1.10274,1.25713
35,1.10389,1.25851
36,1.09864,1.26092
37,1.09008,1.25622
38,1.08661,1.25064
39,1.08611,1.25013
40,1.08764,1.25491
41,1.0876,1.24632
42,1.08884,1.24543
43,1.08173,1.24141
44,1.08134,1.23724
45,1.07986,1.24559
46,1.077,1.23575
47,1.077,1.23575
48,1.077,1.23575
49,1.07321,1.23151
50,1.07886,1.22956
51,1.07232,1.225
52,1.07579,1.21955
53,1.07579,1.21955
54,1.07038,1.21595
55,1.07464,1.21937
56,1.07152,1.22199
57,1.07152,1.22199
58,1.07224,1.21966
59,1.07224,1.21966
60,1.0673,1.21909
61,1.06984,1.22022
62,1.0633,1.22073
63,1.06166,1.22069
64,1.06321,1.22087
65,1.06282,1.21784
66,1.06428,1.21571
67,1.06425,1.20836
68,1.06425,1.20836
69,1.06937,1.20405
70,1.06827,1.20565
71,1.06527,1.20935
72,1.067,1.20519
73,1.06273,1.20349
74,1.06701,1.20344
75,1.06277,1.20096
76,1.05145,1.19579
77,1.05529,1.19642
78,1.05529,1.19642
79,1.05725,1.19925
80,1.05467,1.20027
81,1.05467,1.2037
82,1.05619,1.19962
83,1.05497,1.19165
84,1.05497,1.19165
85,1.0545,1.19293
86,1.0566,1.19579
87,1.06499,1.19728
88,1.06651,1.19397
89,1.06061,1.19182
90,1.06094,1.18741
91,1.06094,1.18741
92,1.06407,1.18703
93,1.05808,1.18355
94,1.05511,1.19281
95,1.05491,1.1802
96,1.0537,1.17971
97,1.05968,1.17966
98,1.05684,1.18362
99,1.05499,1.17746
