t,accP
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,1
21,1
22,1
23,1
24,1
25,1
26,1
27,1
28,1
29,1
30,1
31,1
32,1
33,1
34,1
35,1
36,1
37,1
38,1
39,1
40,1
41,1
42,1
43,1
44,1
45,1
46,1
47,0
48,0
49,1
50,1
51,1
52,1
53,0
54,1
55,1
56,1
57,0
58,1
59,0
60,1
61,1
62,1
63,1
64,1
65,1
66,1
67,1
68,0
69,1
70,1
71,1
72,1
73,1
74,1
75,1
76,1
77,1
78,0
79,1
80,1
81,1
82,1
83,1
84,0
85,1
86,1
87,1
88,1
89,1
90,1
91,0
92,1
93,1
94,1
95,1
96,1
97,1
98,1
99,1
100,1
101,0
102,0
103,0
104,0
105,0
106,1
107,1
108,1
109,1
110,1
111,1
112,0
113,0
114,1
115,0
116,1
117,1
118,1
119,0
120,0
121,1
122,1
123,0
124,1
125,0
126,0
127,0
128,1
129,1
130,0
131,1
132,1
133,1
134,0
135,1
136,0
137,1
138,0
139,1
140,1
141,1
142,1
143,0
144,1
145,1
146,1
147,1
148,1
149,1
150,1
151,0
152,0
153,0
154,1
155,0
156,1
157,1
158,1
159,1
160,1
161,0
162,1
163,1
164,1
165,0
166,1
167,0
168,1
169,1
170,0
171,0
172,0
173,1
174,1
175,1
176,0
177,1
178,0
179,1
180,1
181,1
182,1
183,1
184,1
185,1
186,1
187,1
188,1
189,1
190,1
191,1
192,1
193,0
194,1
195,1
196,1
197,0
198,0
199,1
200,1
201,1
202,1
203,0
204,1
205,1
206,1
207,1
208,1
209,1
210,1
211,1
212,1
213,1
214,0
215,0
216,0
217,0
218,1
219,0
220,0
221,1
222,1
223,1
224,1
225,1
226,1
227,1
228,1
229,1
230,1
231,0
232,0
233,1
234,1
235,0
236,1
237,1
238,1
239,1
240,1
241,0
242,0
243,1
244,0
245,1
246,1
247,0
248,1
249,0
250,1
251,1
252,0
253,0
254,1
255,1
256,1
257,1
258,1
259,1
260,0
261,1
262,0
263,1
264,0
265,0
266,1
267,1
268,0
269,0
270,1
271,1
272,1
273,0
274,1
275,1
276,1
277,1
278,1
279,1
280,0
281,1
282,1
283,0
284,1
285,1
286,0
287,1
288,0
289,1
290,1
291,1
292,1
293,1
294,0
295,0
296,0
297,0
298,0
299,0
300,0
301,0
302,1
303,1
304,1
305,1
306,1
307,1
308,1
309,0
310,0
311,0
312,1
313,1
314,1
315,1
316,1
317,1
318,1
319,1
320,1
321,1
322,1
323,1
324,0
325,1
326,1
327,1
328,1
329,0
330,1
331,1
332,1
333,0
334,1
335,1
336,0
337,0
338,0
339,1
340,1
341,1
342,1
343,1
344,1
345,1
346,0
347,1
348,0
349,0
350,1
351,1
352,1
353,1
354,1
355,0
356,0
357,1
358,1
359,0
360,1
361,1
362,1
363,0
364,1
365,0
366,1
367,0
368,1
369,1
370,0
371,0
372,1
373,1
374,1
375,1
376,0
377,0
378,1
379,0
380,1
381,0
382,1
383,0
384,1
385,1
386,1
387,0
388,1
389,0
390,1
391,1
392,0
393,0
394,0
395,1
396,1
397,1
398,1
399,1
400,1
401,1
402,1
403,0
404,1
405,1
406,1
407,1
408,0
409,0
410,1
411,1
412,1
413,1
414,1
415,1
416,1
417,0
418,0
419,1
420,1
421,1
422,0
423,1
424,1
425,0
426,0
427,0
428,1
429,1
430,1
431,0
432,0
433,0
434,0
435,1
436,1
437,1
438,0
439,0
440,0
441,0
442,1
443,0
444,1
445,1
446,0
447,1
448,1
449,0
450,1
451,1
452,0
453,1
454,1
455,0
456,0
457,1
458,0
459,0
460,1
461,0
462,0
463,0
464,0
465,0
466,1
467,0
468,1
469,0
470,1
471,0
472,0
473,1
474,0
475,0
476,0
477,1
478,1
479,0
480,1
481,1
482,1
483,1
484,0
485,0
486,1
487,0
488,1
489,1
490,0
491,1
492,0
493,0
494,0
495,0
496,0
497,1
498,1
499,1
500,1
501,1
502,1
503,1
504,0
505,0
506,0
507,1
508,0
509,1
510,0
511,0
512,1
513,1
514,0
515,1
516,1
517,1
518,1
519,1
520,1
521,1
522,1
523,0
524,0
525,1
526,1
527,1
528,1
529,1
530,1
531,1
532,1
533,1
534,1
535,1
536,0
537,0
538,1
539,0
540,0
541,0
542,1
543,0
544,0
545,1
546,1
547,0
548,0
549,0
550,0
551,1
552,0
553,0
554,1
555,1
556,1
557,0
558,1
559,0
560,1
561,1
562,1
563,0
564,0
565,1
566,1
567,1
568,1
569,1
570,0
571,0
572,1
573,1
574,1
575,1
576,1
577,1
578,0
579,1
580,1
581,1
582,1
583,1
584,1
585,1
586,0
587,0
588,0
589,1
590,1
591,1
592,0
593,1
594,1
595,0
596,0
597,0
598,1
599,1
600,1
601,1
602,1
