MDTU,min_width,max_width
1,0.0592908,0.0427642
2,0.0571316,0.0417928
3,0.0570944,0.0412489
4,0.0551215,0.040113
5,0.0547884,0.0392331
6,0.0538632,0.0379971
7,0.0532871,0.0377134
8,0.0531664,0.0381915
9,0.0543209,0.0388028
10,0.0535691,0.0383698
11,0.0537837,0.0390401
12,0.0543384,0.0385951
13,0.0548014,0.0391261
14,0.054921,0.0389625
15,0.0564151,0.0401937
16,0.0569005,0.0401107
17,0.0558082,0.039446
18,0.0564492,0.040182
19,0.0558555,0.0397903
20,0.0560637,0.0397062
21,0.0548446,0.0389636
22,0.0555338,0.0392986
23,0.0540688,0.038768
24,0.0519315,0.0372683
25,0.0524825,0.0375167
26,0.0508012,0.0365004
27,0.0496256,0.0354619
28,0.0487844,0.0347755
29,0.0489555,0.0348222
30,0.0499753,0.0350917
31,0.0497888,0.0343718
32,0.0493843,0.0347594
33,0.049301,0.0349892
34,0.0478783,0.0341965
35,0.0479652,0.0338526
36,0.0493776,0.0352469
37,0.0501342,0.0356242
38,0.0510063,0.0361372
39,0.0508946,0.0358982
40,0.0514551,0.0357724
41,0.0494304,0.035118
42,0.0491708,0.0347001
43,0.0492209,0.0348525
44,0.0494102,0.0345287
45,0.0503059,0.0351936
46,0.0497385,0.0351739
47,0.0497385,0.0351739
48,0.0497385,0.0351739
49,0.050376,0.0355171
50,0.0493311,0.03496
51,0.0500892,0.0354371
52,0.0489683,0.0345028
53,0.0489683,0.0345028
54,0.0496923,0.0348235
55,0.0483265,0.0337019
56,0.0495394,0.0344094
57,0.0495394,0.0344094
58,0.0493785,0.033508
59,0.0493785,0.033508
60,0.0503581,0.0343023
61,0.0499104,0.0339292
62,0.0511769,0.0348356
63,0.0509462,0.0352261
64,0.0494682,0.0350272
65,0.0488034,0.0342147
66,0.0489065,0.0340695
67,0.0474016,0.0336328
68,0.0474016,0.0336328
69,0.0459175,0.0322747
70,0.0463585,0.0328369
71,0.0470249,0.0329208
72,0.0462329,0.0324583
73,0.0479964,0.0333178
74,0.0462308,0.0324345
75,0.046896,0.0327221
